Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G03910	342.50
AT1G03920	9.25
AT1G03930	417
AT1G03935	121
AT1G03940	145
AT1G03950	216.50
AT1G03960	100
AT1G03970	233.50
AT1G03980	131.50
AT1G03982	0
AT1G03990	18
AT1G04000	383.50
AT1G04010	123
AT1G04020	55.50
AT1G04030	587.17
AT1G04040	2175.67
AT1G04050	41
AT1G04070	280
AT1G04080	708.50
AT1G04090	8
AT1G04100	121
AT1G04110	55
AT1G04120	402
AT1G04130	143
AT1G04140	1284.50
AT1G04150	6.50
AT1G04160	52
AT1G04170	1159.50
AT1G04171	0
AT1G04180	1
AT1G04190	259.17
AT1G04200	282.50
AT1G04210	240
AT1G04220	145.50
AT1G04230	138
AT1G04240	1312
AT1G04250	2895
AT1G04260	368.50
AT1G04270	8688.58
AT1G04280	335
AT1G04290	405.67
AT1G04295	395.67
AT1G04300	299.83
AT1G04310	155
AT1G04320	0
AT1G04330	12
AT1G04340	739.50
AT1G04350	1142.50
AT1G04360	22
AT1G04370	0
AT1G04380	0
AT1G04390	85
AT1G04400	943.50
AT1G04410	13863.50
AT1G04420	1779.50
AT1G04425	88
AT1G04430	1542.50
AT1G04440	907.00
AT1G04445	0
AT1G04450	0
AT1G04470	0
AT1G04480	3523
AT1G04490	2
AT1G04500	2
AT1G04501	0
AT1G04510	693.50
AT1G04520	202
AT1G04530	710.50
AT1G04540	78
AT1G04550	674.50
AT1G04555	170
AT1G04560	0
AT1G04570	13
AT1G04580	0
AT1G04590	228
AT1G04600	6
AT1G04610	16
AT1G04620	725.00
AT1G04625	35
AT1G04630	738
AT1G04635	23
AT1G04640	1257.83
AT1G04645	4
AT1G04650	13
AT1G04660	19
AT1G04670	0
AT1G04680	2057.17
AT1G04684	0
AT1G04690	1291
AT1G04700	21
AT1G04710	449
AT1G04720	0
AT1G04730	28
AT1G04750	2455.50
AT1G04760	39.33
AT1G04770	199
AT1G04778	5
AT1G04780	365
AT1G04790	230
AT1G04800	1802.50
AT1G04810	529
AT1G04820	8113.08
AT1G04830	214.50
AT1G04840	8
AT1G04850	765.50
AT1G04860	198
AT1G04870	395.50
AT1G04880	0
AT1G04890	0
AT1G04900	99
AT1G04910	375.50
AT1G04920	23
AT1G04930	66.50
AT1G04940	849.17
AT1G04945	912.67
AT1G04950	331
AT1G04960	359
AT1G04970	380.50
AT1G04980	249.67
AT1G04985	505.50
AT1G04990	749
AT1G05000	100
AT1G05010	7474
AT1G05020	82
AT1G05030	157.33
AT1G05040	3
AT1G05055	177
AT1G05060	366
AT1G05065	97
AT1G05070	438.50
AT1G05080	0
AT1G05085	0
AT1G05090	100.50
AT1G05100	18
AT1G05120	116
AT1G05136	3
AT1G05140	1981
AT1G05150	233.50
AT1G05160	72
AT1G05170	125
AT1G05180	474.50
AT1G05190	12191.58
AT1G05200	421.50
AT1G05205	359.50
AT1G05210	179.50
AT1G05220	43.50
AT1G05230	297.50
AT1G05240	0
AT1G05250	0
AT1G05260	39
AT1G05270	462.50
AT1G05280	0
AT1G05290	0
AT1G05291	0
AT1G05300	219
AT1G05310	48
AT1G05320	159.50
AT1G05330	4
AT1G05340	153.83
AT1G05350	299
AT1G05360	112
AT1G05370	37
AT1G05380	230.75
AT1G05385	419.50
AT1G05390	0
AT1G05400	14
AT1G05410	93
AT1G05420	4
AT1G05430	302
AT1G05440	13
AT1G05450	4
AT1G05460	65
AT1G05470	59
AT1G05490	1
AT1G05500	300
AT1G05510	0.50
AT1G05520	371
AT1G05530	0
AT1G05540	135
AT1G05550	7
AT1G05560	382.08
AT1G05562	368.08
AT1G05570	302.50
AT1G05575	85
AT1G05577	0
AT1G05580	0
AT1G05590	299.67
AT1G05600	39
AT1G05610	0
AT1G05615	0
AT1G05620	376
AT1G05630	298.50
AT1G05640	13
AT1G05650	0
AT1G05660	0
AT1G05670	46
AT1G05675	113
AT1G05680	7
AT1G05690	65
AT1G05700	0
AT1G05710	242
AT1G05720	345.25
AT1G05730	137.75
AT1G05740	0
AT1G05750	105
AT1G05760	35
AT1G05770	20
AT1G05780	42
AT1G05785	182
AT1G05790	210.50
AT1G05800	2
AT1G05805	858
AT1G05810	676
AT1G05820	33
AT1G05830	182
AT1G05835	516.33
AT1G05840	377.33
AT1G05850	14747.83
AT1G05860	170.50
AT1G05870	406
AT1G05880	21
AT1G05890	706
AT1G05894	0
AT1G05900	205.50
AT1G05910	177.50
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	977.83
AT1G05950	29
AT1G05960	377.75
AT1G05970	169
AT1G05980	0
AT1G05990	0
AT1G06000	1165.50
AT1G06002	656.00
AT1G06010	283.50
AT1G06020	3.50
AT1G06030	0.50
AT1G06040	2304
AT1G06050	93
AT1G06060	407
AT1G06070	199
AT1G06080	151
AT1G06090	4
AT1G06100	120.50
AT1G06110	560.50
AT1G06120	0
AT1G06130	539.50
AT1G06135	1
AT1G06137	0
AT1G06140	3
AT1G06148	10.33
AT1G06149	91.50
AT1G06150	128.50
AT1G06160	328.33
AT1G06170	4
AT1G06180	257
AT1G06190	783
AT1G06200	612
AT1G06210	223.50
AT1G06220	558.67
AT1G06225	0
AT1G06230	340
AT1G06240	560.50
AT1G06250	16
AT1G06260	8.50
AT1G06265	22.50
AT1G06270	51
AT1G06280	0
AT1G06290	815
AT1G06310	2
AT1G06320	0
AT1G06330	0
AT1G06340	3
AT1G06350	77
AT1G06360	754.50
AT1G06380	75
AT1G06390	1047.17
AT1G06400	705
AT1G06410	851
AT1G06420	13
AT1G06430	1398.50
AT1G06440	35
AT1G06450	124.33
AT1G06460	4105.33
AT1G06470	430.50
AT1G06475	29
AT1G06480	0
AT1G06490	18.33
AT1G06500	209.50
AT1G06510	308.50
AT1G06515	557.50
AT1G06520	33
AT1G06530	568
AT1G06540	0
AT1G06550	270.83
AT1G06560	230.00
AT1G06570	826.67
AT1G06580	29
AT1G06590	93
AT1G06610	0
AT1G06620	243.50
AT1G06630	285
AT1G06640	2681.67
AT1G06645	236.42
AT1G06650	1129.42
AT1G06660	28
AT1G06670	176.33
AT1G06680	75910.05
AT1G06690	1050.17
AT1G06700	1149
AT1G06710	19
AT1G06720	106
AT1G06730	195
AT1G06750	7
AT1G06760	3376.50
AT1G06770	55
AT1G06780	125
AT1G06790	250.33
AT1G06800	510.83
AT1G06810	0
AT1G06820	669.50
AT1G06830	590.50
AT1G06840	224
AT1G06850	202
