Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G54290	774.50
AT1G54300	0
AT1G54310	229
AT1G54320	1553.50
AT1G54330	0
AT1G54340	311.50
AT1G54350	1046.33
AT1G54355	427.83
AT1G54360	618.83
AT1G54370	510.33
AT1G54380	100
AT1G54385	29
AT1G54390	226.50
AT1G54400	1
AT1G54410	12360.50
AT1G54420	0
AT1G54440	95.50
AT1G54445	0
AT1G54450	40.50
AT1G54460	168
AT1G54470	4.50
AT1G54490	403
AT1G54500	4854.83
AT1G54510	35
AT1G54520	1815.25
AT1G54530	20
AT1G54540	0
AT1G54550	0
AT1G54560	0.50
AT1G54570	198.83
AT1G54575	110
AT1G54580	3428.58
AT1G54590	0
AT1G54610	389.50
AT1G54620	0
AT1G54630	4018.75
AT1G54640	0
AT1G54650	103
AT1G54670	0
AT1G54680	77.50
AT1G54690	962
AT1G54700	51
AT1G54710	275
AT1G54720	0
AT1G54730	271
AT1G54740	267.50
AT1G54760	0
AT1G54770	263
AT1G54775	0
AT1G54780	6943.00
AT1G54790	308.00
AT1G54820	334
AT1G54830	357.50
AT1G54840	24.50
AT1G54850	136.83
AT1G54860	0
AT1G54870	0
AT1G54880	0
AT1G54890	3
AT1G54920	329.50
AT1G54930	8
AT1G54940	0
AT1G54950	0
AT1G54960	8
AT1G54970	0
AT1G54980	0
AT1G54990	839.50
AT1G55000	793.50
AT1G55010	17
AT1G55020	81
AT1G55030	0
AT1G55040	41
AT1G55045	0
AT1G55050	3
AT1G55060	0
AT1G55070	0
AT1G55080	79
AT1G55090	366.50
AT1G55110	195.50
AT1G55120	178
AT1G55130	213
AT1G55140	762.50
AT1G55150	253.50
AT1G55152	570.50
AT1G55160	808
AT1G55170	99.50
AT1G55175	1
AT1G55180	39.50
AT1G55190	472
AT1G55200	10.50
AT1G55205	65
AT1G55207	0
AT1G55210	3194.50
AT1G55220	0
AT1G55230	0
AT1G55240	0
AT1G55250	102.50
AT1G55260	1704
AT1G55265	399.50
AT1G55270	315
AT1G55280	128
AT1G55290	0
AT1G55300	203
AT1G55310	597
AT1G55320	123
AT1G55325	219
AT1G55330	1474
AT1G55340	581
AT1G55350	359
AT1G55360	1767.42
AT1G55365	11
AT1G55370	316
AT1G55380	4
AT1G55390	2
AT1G55420	4
AT1G55430	4
AT1G55440	0
AT1G55450	4301.50
AT1G55460	181
AT1G55475	186
AT1G55480	3653
AT1G55490	3785.50
AT1G55500	430
AT1G55510	155
AT1G55520	507.00
AT1G55525	0
AT1G55530	570
AT1G55535	229
AT1G55540	139
AT1G55546	0
AT1G55550	16.50
AT1G55560	6.50
AT1G55570	0
AT1G55580	2
AT1G55590	365.00
AT1G55591	0
AT1G55600	0
AT1G55610	50
AT1G55615	0
AT1G55620	418.50
AT1G55625	0
AT1G55630	76
AT1G55640	0
AT1G55650	0
AT1G55660	0.83
AT1G55670	45537.17
AT1G55675	1428.50
AT1G55680	1203.50
AT1G55690	89
AT1G55700	0
AT1G55710	0
AT1G55720	0
AT1G55730	193.50
AT1G55740	10
AT1G55750	79
AT1G55760	65
AT1G55770	8.50
AT1G55790	15
AT1G55800	0
AT1G55805	490.25
AT1G55810	224.50
AT1G55820	85
AT1G55830	109
AT1G55840	982.50
AT1G55850	1232
AT1G55860	404
AT1G55870	106
AT1G55880	203
AT1G55890	252
AT1G55900	162.75
AT1G55910	1687
AT1G55915	35
AT1G55920	605.50
AT1G55928	0
AT1G55930	96
AT1G55940	17
AT1G55950	4
AT1G55960	766.00
AT1G55970	55.50
AT1G55980	160
AT1G55990	7
AT1G56000	280
AT1G56010	419
AT1G56020	65
AT1G56030	0
AT1G56040	0
AT1G56045	1426.67
AT1G56050	389
AT1G56060	153
AT1G56070	10811.11
AT1G56080	44
AT1G56085	0
AT1G56090	244
AT1G56100	0
AT1G56110	808.50
AT1G56120	249
AT1G56130	22.50
AT1G56140	244
AT1G56145	82
AT1G56150	830.50
AT1G56160	14
AT1G56165	33
AT1G56170	114
AT1G56180	453.50
AT1G56190	9833.00
AT1G56200	4461.67
AT1G56210	105
AT1G56220	10430.58
AT1G56230	118
AT1G56233	0
AT1G56240	17
AT1G56242	17
AT1G56250	5
AT1G56260	152
AT1G56270	0
AT1G56280	14494.33
AT1G56290	100.33
AT1G56300	1150
AT1G56310	86.50
AT1G56320	11.50
AT1G56330	2410.00
AT1G56340	1665.50
AT1G56345	104
AT1G56350	56
AT1G56360	0.50
AT1G56380	0
AT1G56385	0
AT1G56400	0
AT1G56410	0
AT1G56415	0
AT1G56418	0
AT1G56420	79
AT1G56423	266
AT1G56430	284.50
AT1G56440	105
AT1G56450	1781.50
AT1G56460	221
AT1G56500	3782.83
AT1G56510	370.50
AT1G56520	125
AT1G56530	0
AT1G56540	48
AT1G56550	68.50
AT1G56553	0
AT1G56555	2
AT1G56560	286.50
AT1G56570	39
AT1G56580	2359.33
AT1G56590	275.50
AT1G56600	304
AT1G56610	150.50
AT1G56612	133.50
AT1G56620	0
AT1G56630	0.33
AT1G56650	76
AT1G56660	137
AT1G56670	71
AT1G56680	0
AT1G56690	7.50
AT1G56700	451
AT1G56710	7.50
AT1G56720	105
AT1G56730	0
AT1G56740	0
AT1G56750	0
AT1G56760	0
AT1G56770	0
AT1G56780	0
AT1G56790	0
AT1G56800	0
AT1G56810	0
AT1G56820	0
AT1G56830	0
AT1G56840	0
AT1G56850	0
AT1G56860	0
AT1G56870	0
AT1G56880	0
AT1G56890	0
AT1G56900	0
AT1G56910	0
AT1G56920	0
AT1G56930	0
AT1G56940	0
AT1G56950	0
AT1G56960	0
AT1G56970	0
AT1G56980	0
AT1G56990	0
AT1G57000	0
AT1G57010	0
AT1G57020	0
AT1G57030	0
AT1G57040	0
AT1G57050	0
AT1G57060	0
AT1G57070	0
AT1G57080	0
AT1G57090	0
AT1G57100	0
AT1G57110	0
AT1G57120	0
AT1G57130	0
AT1G57140	0
AT1G57150	0
AT1G57160	0
AT1G57170	0
AT1G57180	0
AT1G57190	0
AT1G57200	0
AT1G57210	0
AT1G57220	0
AT1G57230	0
AT1G57240	0
AT1G57250	0
AT1G57260	0
AT1G57270	0
AT1G57280	0
AT1G57290	0
AT1G57300	0
AT1G57310	0
AT1G57320	0
AT1G57330	0
AT1G57340	0
AT1G57350	0
AT1G57360	0
AT1G57370	0
AT1G57380	0
AT1G57390	0
AT1G57400	0
AT1G57410	0
AT1G57420	0
AT1G57430	0
AT1G57440	0
AT1G57450	0
AT1G57460	0
AT1G57470	0
AT1G57480	0
AT1G57490	0
AT1G57500	0
AT1G57510	0
AT1G57520	0
AT1G57530	0
AT1G57540	186
AT1G57550	0
AT1G57560	74
AT1G57565	0
AT1G57570	0
AT1G57580	0
AT1G57590	35
AT1G57600	156
AT1G57610	508.50
AT1G57613	0
AT1G57620	407
AT1G57630	387.50
AT1G57650	1
AT1G57660	2691
AT1G57670	0
AT1G57680	2419.50
AT1G57690	0
AT1G57700	55
AT1G57710	0
AT1G57720	5173.83
AT1G57730	0
AT1G57750	2
AT1G57760	0
AT1G57765	744.50
AT1G57770	1097.50
AT1G57775	0
AT1G57777	0
AT1G57780	5
AT1G57790	166
AT1G57800	0
AT1G57820	157
AT1G57830	0
AT1G57835	0
AT1G57850	29
AT1G57860	1546.25
AT1G57870	595.50
AT1G57906	30
AT1G57943	7
AT1G57980	142.50
AT1G57990	1140.50
AT1G58007	0
AT1G58025	77.50
AT1G58030	1549
AT1G58037	0
AT1G58050	0
AT1G58055	0
AT1G58060	118
AT1G58070	45
AT1G58080	2736.00
AT1G58090	0
AT1G58100	1302
AT1G58110	654.50
AT1G58120	1
AT1G58122	1
AT1G58150	245.50
AT1G58160	38
AT1G58170	51
AT1G58180	364
AT1G58190	87
AT1G58200	540.50
AT1G58210	124
AT1G58220	210.50
AT1G58225	309
AT1G58230	156.50
AT1G58235	872
AT1G58242	0
AT1G58245	0
AT1G58248	0
AT1G58250	198
AT1G58260	0
AT1G58265	0
AT1G58270	625
AT1G58280	265.50
AT1G58290	2208.50
AT1G58300	3
AT1G58310	0
AT1G58320	0
AT1G58330	0
AT1G58340	53
AT1G58350	119
AT1G58360	1104
AT1G58370	66
AT1G58380	605.95
AT1G58390	5
AT1G58400	4
AT1G58410	0
AT1G58420	332
AT1G58430	0
AT1G58440	781.83
AT1G58450	0
AT1G58460	13
AT1G58470	25
AT1G58520	254
AT1G58590	366
AT1G58602	2086.52
AT1G58643	0.33
AT1G58684	1371.17
AT1G58725	4.80
AT1G58766	0
AT1G58807	487.40
AT1G58808	0
AT1G58848	386.54
AT1G58936	0
AT1G58983	1396.54
AT1G59030	5.00
AT1G59077	0
AT1G59124	485.20
AT1G59171	0
AT1G59218	236.53
AT1G59312	0
AT1G59359	1361.64
AT1G59406	5.20
AT1G59453	0
AT1G59500	0
AT1G59510	39.50
AT1G59520	172
AT1G59530	0
AT1G59535	0
AT1G59540	24
AT1G59550	0
AT1G59560	116
AT1G59570	0
AT1G59580	943
AT1G59590	190
AT1G59600	210
AT1G59610	853.50
AT1G59620	142.50
AT1G59630	0
AT1G59640	29
AT1G59650	187
AT1G59660	77
AT1G59670	1
AT1G59675	0
AT1G59680	0
AT1G59690	0
AT1G59700	634
AT1G59710	603.50
AT1G59720	61
AT1G59722	0
AT1G59725	0
AT1G59730	1
AT1G59740	85
AT1G59750	677.00
AT1G59760	152
AT1G59780	1
AT1G59790	1
AT1G59800	0
AT1G59810	0
AT1G59820	205
AT1G59830	889.50
AT1G59833	0
AT1G59835	0
AT1G59840	493.50
AT1G59850	47.50
AT1G59860	17
AT1G59865	8
AT1G59870	10537.75
AT1G59880	0
AT1G59885	0
AT1G59890	115
AT1G59900	2236.50
AT1G59910	228
AT1G59920	7.00
AT1G59930	29.00
AT1G59940	8
AT1G59950	10
AT1G59960	854.50
AT1G59970	510
AT1G59980	89.50
AT1G59990	257.50
AT1G60000	2085
AT1G60010	1506
AT1G60025	0
AT1G60030	20
AT1G60040	0
AT1G60050	0
AT1G60060	80
AT1G60070	486.50
AT1G60072	0
AT1G60073	0
AT1G60080	86
AT1G60090	0
AT1G60095	3
AT1G60110	3
AT1G60130	0
AT1G60140	307.50
AT1G60160	314
AT1G60170	778.50
AT1G60190	13
AT1G60200	392.50
AT1G60220	240
AT1G60230	576
AT1G60240	0
AT1G60250	0
AT1G60260	771.67
AT1G60270	346
AT1G60280	0
AT1G60300	0
AT1G60320	0
AT1G60340	0
AT1G60350	0
AT1G60360	5
AT1G60370	0
AT1G60380	0
AT1G60390	84
AT1G60400	0
AT1G60410	0
AT1G60420	527
AT1G60430	353
AT1G60440	345.50
AT1G60450	0
AT1G60460	12
AT1G60470	9
AT1G60490	334.50
AT1G60500	0
AT1G60505	87
AT1G60525	73.50
AT1G60530	65.50
AT1G60545	64
AT1G60550	1840.50
AT1G60560	48
AT1G60570	0.50
AT1G60580	0
AT1G60590	200
AT1G60600	824.50
AT1G60610	76
AT1G60620	88
AT1G60625	0
AT1G60630	65
AT1G60640	96
AT1G60650	222.50
AT1G60660	363
AT1G60670	160
AT1G60680	23
AT1G60690	180.50
AT1G60700	41
AT1G60710	1822.50
AT1G60720	0
AT1G60730	299.50
AT1G60740	1
AT1G60750	0.50
AT1G60760	0
AT1G60770	180.50
AT1G60780	876
AT1G60783	0
AT1G60790	123.50
AT1G60800	632.08
AT1G60810	325
AT1G60815	0
AT1G60820	0
AT1G60830	12.50
AT1G60840	0
AT1G60850	148.00
AT1G60860	33
AT1G60870	2964.50
AT1G60880	0
AT1G60890	180
AT1G60900	432
AT1G60910	0
AT1G60913	0
AT1G60920	1
AT1G60930	33.50
AT1G60940	693.50
AT1G60950	40211.04
AT1G60960	128
AT1G60970	2
AT1G60980	0
AT1G60983	0
AT1G60985	0
AT1G60986	0
AT1G60987	0
AT1G60989	126
AT1G60990	405
AT1G60995	226
AT1G61000	24
AT1G61010	227.33
AT1G61020	0
AT1G61030	113
AT1G61040	188
AT1G61050	1
AT1G61060	0
AT1G61065	157.50
AT1G61070	0
AT1G61080	1
AT1G61090	0
AT1G61093	0
AT1G61095	0
AT1G61097	0
AT1G61100	367.50
AT1G61105	0
AT1G61110	0
AT1G61120	28
AT1G61130	0
AT1G61140	139
AT1G61150	511.50
AT1G61160	8
AT1G61165	4
AT1G61170	245.50
AT1G61180	165.25
AT1G61190	583.25
AT1G61200	0
AT1G61210	226
AT1G61215	53.50
AT1G61224	0
AT1G61226	0
AT1G61230	8
AT1G61240	94
AT1G61250	2409.67
AT1G61255	94
AT1G61260	353
AT1G61270	0
AT1G61275	2
AT1G61280	23
AT1G61290	0
AT1G61300	347.50
AT1G61310	70.50
AT1G61320	0
AT1G61330	0
AT1G61340	137
AT1G61350	142
AT1G61353	0
AT1G61360	167
AT1G61370	35
AT1G61380	257
AT1G61390	3
AT1G61400	5
AT1G61410	12
AT1G61415	7.50
AT1G61420	20.50
AT1G61430	89
AT1G61440	2
AT1G61450	37.50
AT1G61460	22.50
AT1G61470	51
AT1G61475	2
AT1G61480	1
AT1G61490	19
AT1G61500	9
AT1G61520	56690.25
AT1G61540	0
AT1G61550	0
AT1G61560	71
AT1G61563	0
AT1G61566	0
AT1G61570	660
AT1G61575	1
AT1G61580	285.50
AT1G61590	1
AT1G61600	37
AT1G61610	24
AT1G61620	365.50
AT1G61630	0
AT1G61640	152.50
AT1G61660	404.50
AT1G61667	211
AT1G61670	311
AT1G61680	14
AT1G61688	0
AT1G61690	212
AT1G61700	0
AT1G61710	0
AT1G61720	3
AT1G61730	537.33
AT1G61732	0
AT1G61740	3950.25
AT1G61750	0
AT1G61760	4
AT1G61770	627.50
AT1G61780	838.50
AT1G61790	1380
AT1G61795	77
AT1G61800	119
AT1G61810	0
AT1G61820	5
AT1G61840	0
AT1G61850	164
AT1G61860	4
AT1G61870	317
AT1G61880	0
AT1G61890	1056
AT1G61900	549.50
AT1G61910	0
AT1G61920	0
AT1G61930	32
AT1G61940	0
AT1G61950	0
AT1G61960	38
AT1G61970	24
AT1G61980	147
AT1G61990	158.50
AT1G62000	0
AT1G62010	103
AT1G62020	506.50
AT1G62030	94
AT1G62035	5
AT1G62040	1200
AT1G62045	65
AT1G62050	492.33
AT1G62060	0
AT1G62070	0
AT1G62080	0
AT1G62085	37
AT1G62110	54
AT1G62120	22
AT1G62130	41
AT1G62150	34
AT1G62160	0
AT1G62170	153.50
AT1G62180	2532
AT1G62181	1
AT1G62190	3
AT1G62200	331
AT1G62210	0
AT1G62220	0
AT1G62225	1
AT1G62240	23.50
AT1G62250	955
AT1G62260	18
AT1G62262	2
AT1G62270	0
AT1G62280	0
AT1G62290	35
AT1G62300	368.50
AT1G62301	0
AT1G62305	62
AT1G62310	65
AT1G62320	6
AT1G62330	295
AT1G62333	3
AT1G62340	0.50
AT1G62350	19.50
AT1G62355	1.50
AT1G62360	90
AT1G62370	38
AT1G62380	5528.25
AT1G62390	656
AT1G62400	48
AT1G62410	0
AT1G62420	0
AT1G62421	0
AT1G62422	483.50
AT1G62430	1048.50
AT1G62440	28.50
AT1G62450	0
AT1G62480	5076.50
AT1G62490	0
AT1G62500	1032.83
AT1G62510	264
AT1G62520	104
AT1G62530	0
AT1G62540	96
AT1G62560	499.50
AT1G62570	39
AT1G62580	3.25
AT1G62590	16
AT1G62600	564.00
AT1G62610	167.75
AT1G62620	56.25
AT1G62630	124
AT1G62640	948.50
AT1G62660	759
AT1G62670	57
AT1G62680	18
AT1G62690	2
AT1G62700	8
AT1G62710	23
AT1G62720	33
AT1G62730	141
AT1G62740	304
AT1G62750	3717.00
AT1G62760	14
AT1G62770	193
AT1G62780	2228.50
AT1G62790	926.50
AT1G62800	199.50
AT1G62810	292.50
AT1G62820	613
AT1G62830	82
AT1G62840	40.50
AT1G62850	324.75
AT1G62863	0
AT1G62870	56
AT1G62880	129.50
AT1G62886	1
AT1G62900	3.50
AT1G62910	12.75
AT1G62914	26.25
AT1G62920	25
AT1G62930	52.00
AT1G62935	10
AT1G62940	0
AT1G62950	36
AT1G62960	1216
AT1G62970	93
AT1G62975	18
AT1G62978	0
AT1G62980	0
AT1G62981	30
AT1G62990	139
AT1G63000	1917
AT1G63005	0
AT1G63010	622
AT1G63020	21
AT1G63030	0
AT1G63050	278
AT1G63055	0
AT1G63057	0
AT1G63060	0
AT1G63070	0.50
AT1G63080	26
AT1G63090	700.50
AT1G63100	17
AT1G63105	0
AT1G63110	595
AT1G63120	599
AT1G63130	178.75
AT1G63140	2.50
AT1G63150	32.00
AT1G63160	81
AT1G63170	613.75
AT1G63180	134
AT1G63190	0
AT1G63200	0
AT1G63205	0
AT1G63206	0
AT1G63210	0
AT1G63220	605
AT1G63230	14
AT1G63240	97.50
AT1G63245	20
AT1G63250	35
AT1G63260	356
AT1G63270	161.50
AT1G63280	0
AT1G63290	965.50
AT1G63295	49
AT1G63300	25
AT1G63310	93
AT1G63320	0
AT1G63330	2.88
AT1G63340	3
AT1G63350	54
AT1G63360	303.50
AT1G63370	15
AT1G63380	25.50
AT1G63390	12.50
AT1G63400	25.12
AT1G63410	0
AT1G63420	178
AT1G63430	164.50
AT1G63440	3.50
AT1G63450	0
AT1G63460	638.00
AT1G63470	446
AT1G63480	266.50
AT1G63490	85
AT1G63500	463
AT1G63510	0
AT1G63520	5
AT1G63522	0
AT1G63530	45
AT1G63535	0
AT1G63540	0
AT1G63550	0
AT1G63560	0
AT1G63570	9
AT1G63580	7
AT1G63590	0
AT1G63600	0
AT1G63610	669.50
AT1G63630	1
AT1G63640	84
AT1G63650	17
AT1G63660	292.50
AT1G63670	109
AT1G63680	251.50
AT1G63690	1534
AT1G63700	387.50
AT1G63710	95
AT1G63720	103
AT1G63730	24
AT1G63740	53
AT1G63750	135
AT1G63770	2188.00
AT1G63780	239.00
AT1G63790	0
AT1G63800	788.83
AT1G63810	126.50
AT1G63820	13
AT1G63830	1394.00
AT1G63840	358
AT1G63850	231.50
AT1G63855	74
AT1G63860	127
AT1G63870	0
AT1G63880	549.50
AT1G63900	639
AT1G63910	2
AT1G63930	11
AT1G63940	1574.50
AT1G63950	0
AT1G63960	8
AT1G63970	3107.58
AT1G63980	686.67
AT1G63990	85.67
AT1G64000	0
AT1G64010	0
AT1G64020	7
AT1G64030	0
AT1G64040	1460
AT1G64050	164.50
AT1G64060	115
AT1G64065	219
AT1G64070	1
AT1G64080	194
AT1G64090	2783.50
AT1G64100	95
AT1G64105	94
AT1G64107	0
AT1G64110	0
AT1G64120	0
AT1G64130	0
AT1G64140	499.67
AT1G64142	499.67
AT1G64150	837.50
AT1G64160	0
AT1G64170	155
AT1G64180	40
AT1G64185	52
AT1G64190	1125
AT1G64195	0
AT1G64200	630
AT1G64210	1
AT1G64220	31
AT1G64230	15214.33
AT1G64235	0
AT1G64255	0
AT1G64260	1
AT1G64280	864.50
AT1G64290	0
AT1G64295	0
AT1G64300	28
AT1G64310	2
AT1G64320	0
AT1G64330	300
AT1G64340	0
AT1G64350	357
AT1G64355	1059.50
AT1G64360	596.50
AT1G64370	3732.33
AT1G64380	575.42
AT1G64385	316
AT1G64390	2297.50
AT1G64400	533
AT1G64405	35
AT1G64420	0
AT1G64430	899
AT1G64440	250
AT1G64450	148.50
AT1G64460	48.50
AT1G64470	35.50
AT1G64480	0
AT1G64490	142.50
AT1G64500	2112.00
AT1G64510	8916
AT1G64520	1246.50
AT1G64530	179
AT1G64540	0
AT1G64550	496.50
AT1G64561	33
AT1G64563	23
AT1G64570	130
AT1G64572	21
AT1G64580	18.50
AT1G64583	23
AT1G64585	0
AT1G64590	0
AT1G64600	55
AT1G64610	87
AT1G64618	4
AT1G64620	91
AT1G64625	7
AT1G64628	137.33
AT1G64630	137.33
AT1G64640	653.33
AT1G64650	1541
AT1G64660	307
AT1G64670	699.75
AT1G64680	2825.00
AT1G64690	52
AT1G64700	28
AT1G64710	2920.75
AT1G64720	23956.42
AT1G64740	942.50
AT1G64750	1705.83
AT1G64760	207
AT1G64770	4654.83
AT1G64780	399.50
AT1G64790	383.33
AT1G64800	0
AT1G64810	237
AT1G64820	0
AT1G64830	0.50
AT1G64840	152
AT1G64850	1208
AT1G64860	705
AT1G64870	0
AT1G64880	267.50
AT1G64890	229
AT1G64900	1393.50
AT1G64910	0
AT1G64920	0
AT1G64930	0
AT1G64940	0.50
AT1G64950	1163
AT1G64960	78.50
AT1G64970	678.83
AT1G64980	1376
AT1G64990	476.00
AT1G65000	224.50
AT1G65010	309
AT1G65020	261.50
AT1G65030	265
AT1G65032	95
AT1G65040	375
AT1G65050	0
AT1G65060	553
AT1G65070	188
AT1G65080	62.50
AT1G65090	0.50
AT1G65110	1
AT1G65113	0
AT1G65120	5
AT1G65130	7
AT1G65140	0
AT1G65150	55
AT1G65160	0
AT1G65170	0
AT1G65180	11
AT1G65190	924.50
AT1G65200	0
AT1G65210	0
AT1G65220	677
AT1G65230	1723.00
AT1G65240	37.50
AT1G65250	108
AT1G65260	3108.50
AT1G65270	1316
AT1G65280	224.50
AT1G65290	2566.50
AT1G65295	1187
AT1G65300	0
AT1G65310	146
AT1G65320	506
AT1G65330	5
AT1G65340	0
AT1G65342	0
AT1G65346	0
AT1G65350	0
AT1G65352	0
AT1G65360	9
AT1G65370	232
AT1G65380	134
AT1G65390	125
AT1G65410	346.50
AT1G65420	304
AT1G65430	380.50
AT1G65440	471
AT1G65450	160
AT1G65470	28
AT1G65480	59
AT1G65481	19
AT1G65483	22.50
AT1G65484	49
AT1G65486	1078.50
AT1G65490	4502.17
AT1G65500	300
AT1G65510	144.50
AT1G65520	480.50
AT1G65540	340.50
AT1G65541	19.50
AT1G65550	3
AT1G65560	147
AT1G65570	0
AT1G65580	277.50
AT1G65590	623.33
AT1G65610	48
AT1G65620	147
AT1G65630	1
AT1G65640	0
AT1G65650	501
AT1G65660	220.50
AT1G65670	0
AT1G65680	0
AT1G65681	0
AT1G65690	361.50
AT1G65700	325.00
AT1G65710	50
AT1G65720	1957.50
AT1G65730	33
AT1G65740	0.50
AT1G65760	3
AT1G65770	0
AT1G65780	0
AT1G65790	220.09
AT1G65800	750.46
AT1G65810	0
AT1G65820	3020.58
AT1G65830	0
AT1G65840	1308
AT1G65845	1343
AT1G65850	3
AT1G65860	407.50
AT1G65870	180.50
AT1G65880	8
AT1G65890	38
AT1G65900	142.50
AT1G65907	0
AT1G65910	15
AT1G65920	76
AT1G65930	8846.75
AT1G65950	84
AT1G65960	3419
AT1G65970	118
AT1G65980	3077
AT1G65985	77
AT1G65990	0
AT1G66000	0
AT1G66020	9
AT1G66030	0
AT1G66040	14.50
AT1G66045	0
AT1G66050	20.50
AT1G66060	4.50
AT1G66070	428.50
AT1G66080	133.50
AT1G66090	298.75
AT1G66100	3791.50
AT1G66110	0
AT1G66120	0
AT1G66130	661.25
AT1G66140	279.50
AT1G66145	0
AT1G66150	712.50
AT1G66160	245
AT1G66170	2
AT1G66173	21
AT1G66180	1312.50
AT1G66190	139
AT1G66200	9668.33
AT1G66210	0
AT1G66220	0
AT1G66230	203.50
AT1G66235	0
AT1G66240	2510.50
AT1G66245	0
AT1G66250	218
AT1G66260	1878.75
AT1G66270	0
AT1G66280	6
AT1G66290	0
AT1G66300	0
AT1G66310	0
AT1G66320	0
AT1G66330	650
AT1G66340	299
AT1G66345	69.50
AT1G66350	743.50
AT1G66360	0
AT1G66370	55
AT1G66380	18
AT1G66390	63
AT1G66400	84
AT1G66410	1931
AT1G66420	0
AT1G66430	1857.50
AT1G66440	0
AT1G66450	5
AT1G66460	225
AT1G66470	0
AT1G66475	0
AT1G66480	96
AT1G66490	0
AT1G66500	186
AT1G66510	129
AT1G66520	211.00
AT1G66530	282.00
AT1G66540	262.50
AT1G66550	0
AT1G66553	0
AT1G66560	0
AT1G66570	0
AT1G66580	1964.00
AT1G66590	252.50
AT1G66600	30.50
AT1G66610	0
AT1G66620	47
AT1G66630	0
AT1G66640	0
AT1G66650	5
AT1G66660	63
AT1G66670	2058.50
AT1G66680	391
AT1G66690	26.50
AT1G66700	108.50
AT1G66720	0
AT1G66725	353
AT1G66730	65.50
AT1G66740	477.50
AT1G66750	158
AT1G66760	77.00
AT1G66770	0
AT1G66780	1
AT1G66783	3
AT1G66790	0
AT1G66795	0
AT1G66800	0
AT1G66810	39
AT1G66820	1351.50
AT1G66830	18
AT1G66840	161
AT1G66850	0
AT1G66852	0
AT1G66855	0
AT1G66860	9
AT1G66870	0
AT1G66880	794.50
AT1G66890	474.50
AT1G66900	408.50
AT1G66910	178.42
AT1G66920	217.58
AT1G66930	38.33
AT1G66940	999.50
AT1G66950	1.75
AT1G66960	40.25
AT1G66970	4390.50
AT1G66980	463
AT1G67000	44.50
AT1G67020	1
AT1G67025	0
AT1G67030	5
AT1G67035	20.25
AT1G67040	28.17
AT1G67050	932.83
AT1G67060	612.50
AT1G67070	29.00
AT1G67080	693.50
AT1G67090	413023.24
AT1G67100	5
AT1G67105	79.50
AT1G67110	8
AT1G67120	63.75
AT1G67130	0
AT1G67140	229.00
AT1G67148	0
AT1G67150	2
AT1G67160	0
AT1G67170	116.50
AT1G67180	11
AT1G67190	118
AT1G67195	811
AT1G67210	35
AT1G67220	2
AT1G67230	337.50
AT1G67238	1
AT1G67250	706.50
AT1G67260	17
AT1G67265	94
AT1G67270	0
AT1G67280	4298
AT1G67290	1
AT1G67300	367
AT1G67310	262
AT1G67320	116.50
AT1G67325	464
AT1G67328	67
AT1G67330	67
AT1G67340	732
AT1G67350	1967.50
AT1G67360	595
AT1G67365	63
AT1G67370	9
AT1G67390	0
AT1G67400	95.50
AT1G67410	112.50
AT1G67420	27
AT1G67430	4926.50
AT1G67440	160.50
AT1G67450	0
AT1G67455	0
AT1G67460	9.50
AT1G67470	130
AT1G67480	950
AT1G67481	1
AT1G67490	190
AT1G67500	64
AT1G67510	290.50
AT1G67520	18
AT1G67530	160.50
AT1G67540	2.50
AT1G67550	192.50
AT1G67560	384
AT1G67570	35.50
AT1G67580	393.50
AT1G67590	160
AT1G67600	29
AT1G67620	249
AT1G67623	0
AT1G67630	79
AT1G67635	0
AT1G67640	3
AT1G67650	12
AT1G67660	378
AT1G67670	0
AT1G67680	548
AT1G67690	42
AT1G67700	7152.50
AT1G67710	18
AT1G67720	107.67
AT1G67730	1943
AT1G67740	29011.75
AT1G67750	335.50
AT1G67760	11
AT1G67770	0.33
AT1G67775	0
AT1G67780	5
AT1G67785	2091.17
AT1G67790	36.67
AT1G67792	38.67
AT1G67800	351
AT1G67810	300
AT1G67820	15.50
AT1G67830	429
AT1G67840	757
AT1G67850	243
AT1G67855	14.50
AT1G67856	15.50
AT1G67860	2384.50
AT1G67865	11098.42
AT1G67870	4676.94
AT1G67875	0.50
AT1G67880	306
AT1G67890	192
AT1G67900	459
AT1G67910	292
AT1G67920	181.50
AT1G67930	428.50
AT1G67940	257
AT1G67950	212
AT1G67960	101.50
AT1G67970	288
AT1G67980	77
AT1G67990	0
AT1G68000	890.00
AT1G68010	9520.33
AT1G68020	150
AT1G68030	6
AT1G68040	0
AT1G68050	309.50
AT1G68060	296
AT1G68070	510
AT1G68080	82
AT1G68090	0
AT1G68100	656.00
AT1G68110	104
AT1G68120	9
AT1G68130	171
AT1G68140	587
AT1G68150	0
AT1G68160	120.50
AT1G68170	0
AT1G68180	7
AT1G68185	125
AT1G68190	161
AT1G68200	20
AT1G68210	0
AT1G68220	568
AT1G68230	91
AT1G68238	484.50
AT1G68240	9.50
AT1G68250	0
AT1G68260	399.50
AT1G68270	0
AT1G68280	0
AT1G68290	51
AT1G68300	667.50
AT1G68310	567.00
AT1G68320	3
AT1G68330	89
AT1G68340	74
AT1G68350	11
AT1G68360	7.50
AT1G68370	299
AT1G68380	0
AT1G68390	51.50
AT1G68400	317.50
AT1G68410	267
AT1G68420	0
