Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/R51.sam
AT1G46480	85
AT1G46554	102
AT1G46696	0
AT1G46768	26
AT1G46840	0
AT1G46912	0
AT1G46984	0
AT1G47056	323
AT1G47128	10367.83
AT1G47200	606.07
AT1G47210	361
AT1G47220	0
AT1G47230	250.50
AT1G47240	323
AT1G47250	695
AT1G47260	2154.50
AT1G47265	0
AT1G47270	279.50
AT1G47271	13
AT1G47278	328.50
AT1G47280	4.50
AT1G47290	355.00
AT1G47300	0
AT1G47310	307.50
AT1G47317	0
AT1G47330	344.33
AT1G47340	86.33
AT1G47350	0
AT1G47370	71
AT1G47380	427.50
AT1G47389	0
AT1G47390	0
AT1G47395	115
AT1G47400	85
AT1G47410	299.17
AT1G47420	2962.17
AT1G47450	0
AT1G47470	0
AT1G47480	103
AT1G47485	9
AT1G47490	1001
AT1G47495	0
AT1G47497	0
AT1G47500	500.50
AT1G47510	17
AT1G47530	2020.50
AT1G47540	0
AT1G47550	1533.08
AT1G47560	98.25
AT1G47570	269
AT1G47578	11.50
AT1G47580	231.50
AT1G47600	0
AT1G47603	0
AT1G47610	0
AT1G47620	0
AT1G47640	861.50
AT1G47655	28
AT1G47660	0
AT1G47670	135
AT1G47680	0
AT1G47690	0
AT1G47700	0
AT1G47710	880.50
AT1G47720	85
AT1G47730	0
AT1G47740	612.50
AT1G47750	285
AT1G47760	8
AT1G47765	0
AT1G47770	0
AT1G47780	0
AT1G47786	0
AT1G47790	0
AT1G47800	0
AT1G47810	0
AT1G47813	0
AT1G47820	117
AT1G47830	514.25
AT1G47840	46
AT1G47870	270
AT1G47885	0
AT1G47890	311.50
AT1G47900	375
AT1G47915	0.50
AT1G47920	0.50
AT1G47940	0
AT1G47946	0
AT1G47960	223.33
AT1G47970	940
AT1G47980	9
AT1G47990	0
AT1G48000	8
AT1G48010	0
AT1G48020	0
AT1G48030	9695
AT1G48040	204
AT1G48050	364
AT1G48060	0.50
AT1G48070	0
AT1G48080	0
AT1G48090	2325.50
AT1G48095	0
AT1G48100	99
AT1G48110	919
AT1G48120	163.50
AT1G48130	0
AT1G48140	249.50
AT1G48145	0
AT1G48150	0
AT1G48160	603.25
AT1G48170	243.75
AT1G48175	144.50
AT1G48180	0.50
AT1G48190	0
AT1G48195	1
AT1G48200	161.50
AT1G48210	1762.00
AT1G48220	0
AT1G48230	846
AT1G48240	334.50
AT1G48260	56
AT1G48267	1
AT1G48270	80
AT1G48280	179
AT1G48300	3938.17
AT1G48310	197.67
AT1G48315	246.50
AT1G48320	298.50
AT1G48325	0
AT1G48330	72
AT1G48350	6410.50
AT1G48360	181
AT1G48370	392.83
AT1G48380	230.50
AT1G48390	11
AT1G48400	0
AT1G48405	1
AT1G48410	2137
AT1G48420	1919
AT1G48430	926.50
AT1G48440	1425.17
AT1G48450	2662.17
AT1G48460	272
AT1G48470	10
AT1G48480	1064.50
AT1G48490	896.50
AT1G48500	11
AT1G48510	0
AT1G48520	1611.75
AT1G48530	0
AT1G48540	653
AT1G48550	265
AT1G48560	110.33
AT1G48570	503.83
AT1G48580	32.50
AT1G48590	5.25
AT1G48598	2072.17
AT1G48600	2072.17
AT1G48605	97.00
AT1G48610	400
AT1G48620	817.42
AT1G48630	1627.50
AT1G48635	406
AT1G48640	0
AT1G48650	1469
AT1G48660	17
AT1G48670	0
AT1G48690	0
AT1G48698	0
AT1G48700	0
AT1G48720	2.20
AT1G48730	0
AT1G48740	5
AT1G48742	0
AT1G48745	130
AT1G48750	108
AT1G48760	528.50
AT1G48770	57.50
AT1G48780	35
AT1G48790	947
AT1G48800	0
AT1G48820	12.50
AT1G48830	1982
AT1G48840	196.50
AT1G48850	1698
AT1G48860	1038
AT1G48870	45
AT1G48880	77
AT1G48900	1162.50
AT1G48910	0
AT1G48912	0
AT1G48920	5022.17
AT1G48930	0.50
AT1G48940	0
AT1G48950	259.33
AT1G48953	0
AT1G48960	229
AT1G48970	482
AT1G48980	0
AT1G48990	0
AT1G49000	57
AT1G49005	2
AT1G49010	471.50
AT1G49015	0
AT1G49020	0
AT1G49030	0
AT1G49032	336
AT1G49040	1142.50
AT1G49050	1073.50
AT1G49100	0
AT1G49110	0
AT1G49120	1
AT1G49130	161
AT1G49140	1214
AT1G49150	1
AT1G49160	94
AT1G49170	130
AT1G49180	126
AT1G49190	0
AT1G49200	67
AT1G49210	12
AT1G49220	6
AT1G49230	103
AT1G49240	4630
AT1G49245	123
AT1G49250	0
AT1G49260	0
AT1G49270	0
AT1G49280	0
AT1G49290	0
AT1G49300	1401.50
AT1G49310	19
AT1G49320	64
AT1G49330	1
AT1G49340	1351
AT1G49350	235.50
AT1G49360	147
AT1G49380	1222.50
AT1G49390	0
AT1G49400	374
AT1G49405	20
AT1G49410	630.50
AT1G49420	0
AT1G49430	697
AT1G49435	0
AT1G49450	5
AT1G49460	0
AT1G49470	239.50
AT1G49475	12.50
AT1G49480	922
AT1G49490	70.50
AT1G49500	845.50
AT1G49510	681.50
AT1G49520	85
AT1G49530	25.50
AT1G49540	240.50
AT1G49560	233
AT1G49570	0
AT1G49580	441.50
AT1G49590	355.50
AT1G49600	1684.67
AT1G49610	4
AT1G49620	41
AT1G49630	585
AT1G49640	0
AT1G49650	300
AT1G49660	597
AT1G49670	1539.50
AT1G49680	0
AT1G49690	0
AT1G49700	33
AT1G49710	588.50
AT1G49715	0
AT1G49720	391
AT1G49730	527
AT1G49740	497.50
AT1G49750	6024
AT1G49760	2496.75
AT1G49770	0
AT1G49780	382
AT1G49790	11
AT1G49800	0
AT1G49810	0
AT1G49820	799.50
AT1G49830	7
AT1G49832	17
AT1G49840	226
AT1G49850	261
AT1G49860	1
AT1G49870	66
AT1G49880	83
AT1G49890	312.50
AT1G49900	1
AT1G49910	27
AT1G49920	21
AT1G49930	0
AT1G49938	0
AT1G49940	10
AT1G49950	670.50
AT1G49952	4
AT1G49960	271.17
AT1G49970	5590.67
AT1G49975	605.00
AT1G49980	371.50
AT1G49990	108
AT1G50000	140.50
AT1G50010	3689
AT1G50020	1804.50
AT1G50030	1100
AT1G50040	323
AT1G50050	0
AT1G50055	136
AT1G50060	0
AT1G50070	0
AT1G50080	0
AT1G50090	0
AT1G50100	0
AT1G50110	73
AT1G50120	773
AT1G50140	781
AT1G50160	0
AT1G50170	807
AT1G50180	210
AT1G50190	0
AT1G50200	3679
AT1G50220	0
AT1G50240	111
AT1G50250	4578
AT1G50260	251
AT1G50270	100.50
AT1G50280	130.50
AT1G50290	102.50
AT1G50300	243.50
AT1G50310	6
AT1G50320	4474.50
AT1G50325	0
AT1G50340	0
AT1G50350	0
AT1G50360	658.50
AT1G50370	956
AT1G50380	934
AT1G50390	4
AT1G50400	34
AT1G50410	564.50
AT1G50420	443.50
AT1G50430	2454.75
AT1G50440	598
AT1G50450	1193.00
AT1G50460	424.50
AT1G50470	0
AT1G50480	3947.11
AT1G50490	303.50
AT1G50500	832
AT1G50510	297.00
AT1G50520	44
AT1G50530	0.50
AT1G50560	13
AT1G50570	725
AT1G50575	379
AT1G50580	0
AT1G50590	100
AT1G50600	678.50
AT1G50603	0
AT1G50610	1
AT1G50620	184.50
AT1G50630	138
AT1G50640	727
AT1G50650	1
AT1G50659	134
AT1G50660	1011.17
AT1G50670	727
AT1G50680	0
AT1G50690	0
AT1G50691	0
AT1G50700	162
AT1G50710	280
AT1G50720	0
AT1G50730	512.50
AT1G50732	317.50
AT1G50740	840
AT1G50750	35
AT1G50760	1
AT1G50770	2
AT1G50780	0
AT1G50790	34
AT1G50800	0
AT1G50820	1
AT1G50830	8
AT1G50840	763.50
AT1G50870	0
AT1G50880	0
AT1G50890	160
AT1G50900	1758.08
AT1G50910	1178.08
AT1G50920	1921.50
AT1G50930	0
AT1G50940	389
AT1G50950	100
AT1G50954	0
AT1G50960	0
AT1G50970	147
AT1G50980	0
AT1G50990	0
AT1G51000	0
AT1G51010	0
AT1G51020	0
AT1G51030	0
AT1G51035	0
AT1G51040	0
AT1G51055	9
AT1G51060	2706.17
AT1G51070	1316.50
AT1G51080	226.50
AT1G51090	347.50
AT1G51100	671.33
AT1G51110	2172.00
AT1G51120	0
AT1G51130	61
AT1G51140	564.50
AT1G51150	0
AT1G51160	759.50
AT1G51170	119.50
AT1G51172	0
AT1G51190	0
AT1G51200	4109.00
AT1G51210	0
AT1G51220	0
AT1G51230	0
AT1G51240	0.17
AT1G51250	0.67
AT1G51260	0
AT1G51270	278.50
AT1G51290	0
AT1G51300	0
AT1G51310	398.50
AT1G51320	0
AT1G51330	2
AT1G51340	232.50
AT1G51350	580
AT1G51355	8
AT1G51360	240.50
AT1G51370	85.50
AT1G51380	27
AT1G51390	536.91
AT1G51400	2396.00
AT1G51402	2410.00
AT1G51405	39
AT1G51410	0
AT1G51420	14
AT1G51430	218.50
AT1G51440	67
AT1G51450	161.33
AT1G51460	84
AT1G51470	0
AT1G51480	0
AT1G51490	0
AT1G51500	3005.50
AT1G51510	1301.50
AT1G51520	45
AT1G51530	1
AT1G51538	1
AT1G51540	294
AT1G51550	203.50
AT1G51560	456.00
AT1G51570	1998
AT1G51580	344.50
AT1G51590	864
AT1G51600	261
AT1G51610	776
AT1G51620	101
AT1G51630	840
AT1G51640	83.50
AT1G51645	77.50
AT1G51650	2795.08
AT1G51660	1233
AT1G51670	17
AT1G51680	1942.50
AT1G51690	1306.50
AT1G51700	576
AT1G51710	1569.50
AT1G51720	650.00
AT1G51730	868.50
AT1G51740	229.50
AT1G51745	254
AT1G51760	2183.25
AT1G51770	1
AT1G51780	19.75
AT1G51790	243
AT1G51800	232.50
AT1G51805	2814.33
AT1G51810	0
AT1G51820	40.50
AT1G51823	0
AT1G51830	1.50
AT1G51840	0
AT1G51850	27
AT1G51860	416.50
AT1G51870	0
AT1G51880	3.75
AT1G51890	766
AT1G51900	0
AT1G51910	0
AT1G51913	0
AT1G51915	8
AT1G51920	21
AT1G51930	1
AT1G51940	1048
AT1G51950	812.50
AT1G51960	4
AT1G51965	189.67
AT1G51970	0
AT1G51980	4726
AT1G51990	0
AT1G52000	893.50
AT1G52030	201.50
AT1G52040	754.50
AT1G52050	0
AT1G52060	0
AT1G52070	0
AT1G52080	70
AT1G52100	21
AT1G52110	0
AT1G52120	3.50
AT1G52130	0
AT1G52140	54
AT1G52150	515
AT1G52155	75
AT1G52160	342
AT1G52170	0
AT1G52180	0
AT1G52185	0
AT1G52190	1120.50
AT1G52191	0
AT1G52200	328
AT1G52220	4600.00
AT1G52230	12642.58
AT1G52240	69
AT1G52260	285
AT1G52270	10
AT1G52280	541.00
AT1G52290	1074.33
AT1G52300	4623.75
AT1G52310	729.50
AT1G52315	23
AT1G52320	589.50
AT1G52325	0
AT1G52330	10.50
AT1G52340	345.50
AT1G52342	262
AT1G52343	1
AT1G52347	197
AT1G52350	0
AT1G52360	2206.92
AT1G52370	414.83
AT1G52380	550.50
AT1G52390	1
AT1G52400	8331.50
AT1G52410	1412
AT1G52415	0
AT1G52420	1253
AT1G52430	6.25
AT1G52440	0
AT1G52450	22.75
AT1G52460	0
AT1G52470	0
AT1G52490	0
AT1G52500	508.67
AT1G52510	1927.67
AT1G52520	131
AT1G52530	25.50
AT1G52540	269
AT1G52550	115
AT1G52560	4
AT1G52565	30
AT1G52570	81
AT1G52580	24.50
AT1G52590	1019.00
AT1G52600	1079
AT1G52615	1
AT1G52618	66.50
AT1G52620	96.50
AT1G52630	208
AT1G52640	9
AT1G52650	3
AT1G52660	0
AT1G52670	1041.50
AT1G52680	0
AT1G52690	12.50
AT1G52695	0
AT1G52700	42
AT1G52710	204
AT1G52720	516.50
AT1G52730	677
AT1G52740	1784
AT1G52750	70
AT1G52760	799
AT1G52770	388
AT1G52780	1574.50
AT1G52790	2
AT1G52800	43
AT1G52810	8
AT1G52820	26
AT1G52825	58
AT1G52827	97
AT1G52830	110
AT1G52855	143.50
AT1G52857	6
AT1G52860	0
AT1G52870	3857
AT1G52880	312
AT1G52890	45.50
AT1G52900	1
AT1G52905	174.50
AT1G52910	95.50
AT1G52920	31.50
AT1G52930	425.50
AT1G52940	0
AT1G52950	0
AT1G52970	0
AT1G52980	1286.00
AT1G52990	8
AT1G53000	575.00
AT1G53010	0
AT1G53023	0.50
AT1G53025	102
AT1G53030	170.50
AT1G53035	84.50
AT1G53039	0
AT1G53040	572
AT1G53050	694.50
AT1G53060	26
AT1G53070	150
AT1G53080	2
AT1G53090	577.50
AT1G53100	76.50
AT1G53110	211
AT1G53120	474.50
AT1G53130	6.50
AT1G53140	58
AT1G53160	78
AT1G53163	0
AT1G53165	368.50
AT1G53170	301.50
AT1G53180	11.50
AT1G53190	317
AT1G53200	110.50
AT1G53210	4916.50
AT1G53220	0
AT1G53230	1204.75
AT1G53233	1174.75
AT1G53240	7937.67
AT1G53250	104
AT1G53260	1
AT1G53265	0
AT1G53270	34.50
AT1G53280	2429
AT1G53282	0
AT1G53285	0
AT1G53290	305.50
AT1G53300	874
AT1G53310	5704.50
AT1G53320	809.50
AT1G53325	0
AT1G53330	61
AT1G53340	22
AT1G53345	40.83
AT1G53350	322
AT1G53360	1
AT1G53366	0
AT1G53370	0
AT1G53380	515
AT1G53390	859.50
AT1G53400	514
AT1G53410	20
AT1G53420	0
AT1G53430	1417
AT1G53440	869.25
AT1G53450	363.75
AT1G53460	208.83
AT1G53470	19
AT1G53480	50
AT1G53490	81.50
AT1G53500	1373.50
AT1G53510	1170.50
AT1G53520	559.50
AT1G53530	155
AT1G53540	0
AT1G53541	37
AT1G53542	60.50
AT1G53543	2.50
AT1G53550	0
AT1G53560	257.00
AT1G53570	849.50
AT1G53580	735
AT1G53590	443.33
AT1G53600	26
AT1G53610	2
AT1G53620	70
AT1G53625	152
AT1G53633	0
AT1G53635	0
AT1G53640	0.50
AT1G53645	506.50
AT1G53650	281
AT1G53660	2
AT1G53670	1546.33
AT1G53680	19.50
AT1G53683	0.50
AT1G53687	0
AT1G53690	11
AT1G53700	34
AT1G53705	0
AT1G53708	0
AT1G53710	448.50
AT1G53720	281.50
AT1G53730	827.50
AT1G53750	3747.50
AT1G53760	270.50
AT1G53770	234.50
AT1G53780	725.50
AT1G53785	257.50
AT1G53790	63
AT1G53800	828.17
AT1G53801	341.50
AT1G53815	0
AT1G53820	0
AT1G53830	10
AT1G53840	1354.50
AT1G53850	1294.50
AT1G53860	14
AT1G53870	28.75
AT1G53880	272.84
AT1G53885	32.00
AT1G53887	19.50
AT1G53890	27.25
AT1G53900	267.14
AT1G53903	31.00
AT1G53910	1829.00
AT1G53920	132.50
AT1G53930	0
AT1G53935	0
AT1G53940	0
AT1G53950	0
AT1G53970	0
AT1G53980	9
AT1G53990	3
AT1G54000	50
AT1G54010	715
AT1G54020	34
AT1G54030	1346
AT1G54040	1698.83
AT1G54050	83
AT1G54060	605.50
AT1G54070	0
AT1G54080	1977.50
AT1G54090	748.50
AT1G54095	6
AT1G54100	1225
AT1G54110	115
AT1G54115	549.50
AT1G54120	16
AT1G54130	1382
AT1G54140	170
AT1G54150	360
AT1G54160	110
AT1G54170	655.50
AT1G54180	56
AT1G54200	117
AT1G54210	236
AT1G54215	8
AT1G54217	40.50
AT1G54220	761.50
AT1G54230	0
AT1G54240	0
AT1G54250	293.50
AT1G54260	192
AT1G54270	3103
AT1G54280	0
AT1G54290	370.50
AT1G54300	0
AT1G54310	312.50
AT1G54320	1727.17
AT1G54330	1
AT1G54340	866.50
AT1G54350	1397.00
AT1G54355	589.50
AT1G54360	1006.50
AT1G54370	738
AT1G54380	196
AT1G54385	124
AT1G54390	312
AT1G54400	4.50
AT1G54410	17024.92
AT1G54420	0
AT1G54440	463.50
AT1G54445	0
AT1G54450	82
AT1G54460	450
AT1G54470	3.50
AT1G54490	997
AT1G54500	3264
AT1G54510	111
AT1G54520	2851
AT1G54530	20.50
AT1G54540	6
AT1G54550	0.33
AT1G54560	0
AT1G54570	503.50
AT1G54575	256
AT1G54580	1818.50
AT1G54590	0
AT1G54610	1213
AT1G54620	0
AT1G54630	2072
AT1G54640	0
AT1G54650	157
AT1G54670	0
AT1G54680	97.83
AT1G54690	556.33
AT1G54700	71.50
AT1G54710	341.50
AT1G54720	2.00
AT1G54730	305
AT1G54740	221
AT1G54760	0
AT1G54770	265
AT1G54775	0
AT1G54780	6795.25
AT1G54790	431.58
AT1G54820	544
AT1G54830	406
AT1G54840	19
AT1G54850	131
AT1G54860	0
AT1G54870	0
AT1G54880	0
AT1G54890	0
AT1G54920	1094.50
AT1G54930	0
AT1G54940	0
AT1G54950	0
AT1G54960	42
AT1G54970	0
AT1G54980	1
AT1G54990	1019
AT1G55000	788.50
AT1G55010	8
AT1G55020	459
AT1G55030	0
AT1G55040	105
AT1G55045	0
AT1G55050	19
AT1G55060	0
AT1G55070	0.50
AT1G55080	161.50
AT1G55090	1163.50
AT1G55110	302
AT1G55120	294
AT1G55130	385.67
AT1G55140	676.50
AT1G55150	416.50
AT1G55152	206.50
AT1G55160	487
AT1G55170	176
AT1G55175	1
AT1G55180	95
AT1G55190	213
AT1G55200	34
AT1G55205	44
AT1G55207	0
AT1G55210	5366
AT1G55220	3.50
AT1G55230	16
AT1G55240	4
AT1G55250	322
AT1G55260	1086
AT1G55265	276.67
AT1G55270	400.67
AT1G55280	99
AT1G55290	0
AT1G55300	174
AT1G55310	662
AT1G55320	310.50
AT1G55325	635.50
AT1G55330	1598.50
AT1G55340	594
AT1G55350	1363.50
AT1G55360	1266.50
AT1G55365	9
AT1G55370	613
AT1G55380	1
AT1G55390	19
AT1G55420	8
AT1G55430	0
AT1G55440	0
AT1G55450	3391
AT1G55460	407
AT1G55475	123
AT1G55480	5409.00
AT1G55490	15343.50
AT1G55500	655.92
AT1G55510	187.50
AT1G55520	455
AT1G55525	0
AT1G55530	657
AT1G55535	257
AT1G55540	508.33
AT1G55546	0
AT1G55550	117
AT1G55560	4
AT1G55570	0
AT1G55580	0
AT1G55590	270
AT1G55591	0
AT1G55600	0.50
AT1G55610	167
AT1G55615	0
AT1G55620	452.50
AT1G55625	0
AT1G55630	105
AT1G55640	0
AT1G55650	1
AT1G55660	0
AT1G55670	26683.25
AT1G55675	514.50
AT1G55680	1672.83
AT1G55690	453
AT1G55700	0
AT1G55710	0
AT1G55720	0
AT1G55730	450
AT1G55740	12
AT1G55750	300
AT1G55760	101.50
AT1G55770	0
AT1G55790	94
AT1G55800	8
AT1G55805	386
AT1G55810	373
AT1G55820	161
AT1G55830	255.00
AT1G55840	1606.50
AT1G55850	1377.50
AT1G55860	2640
AT1G55870	227.00
AT1G55880	193.50
AT1G55890	323
AT1G55900	367
AT1G55910	1418
AT1G55915	83
AT1G55920	511
AT1G55928	0
AT1G55930	287
AT1G55940	31
AT1G55950	4
AT1G55960	558.50
AT1G55970	199.50
AT1G55980	188.50
AT1G55990	13
AT1G56000	343.67
AT1G56010	307.67
AT1G56020	57
AT1G56030	0
AT1G56040	1
AT1G56045	877
AT1G56050	1472.00
AT1G56060	195
AT1G56070	23327.50
AT1G56080	67
AT1G56085	0
AT1G56090	179.50
AT1G56100	0
AT1G56110	1878.50
AT1G56120	1066.75
AT1G56130	60.33
AT1G56140	375.42
AT1G56145	237
AT1G56150	673
AT1G56160	5.50
AT1G56165	25.50
AT1G56170	203
AT1G56180	361.50
AT1G56190	9703.50
AT1G56200	2240
AT1G56210	53
AT1G56220	4133
AT1G56230	241
AT1G56233	0
AT1G56240	23.36
AT1G56242	23.36
AT1G56250	9.28
AT1G56260	83
AT1G56270	0
AT1G56280	7907.83
AT1G56290	289.50
AT1G56300	795
AT1G56310	164
AT1G56320	10
AT1G56330	2643.67
AT1G56340	6503.83
AT1G56345	127
AT1G56350	106
AT1G56360	0.50
AT1G56380	0
AT1G56385	0
AT1G56400	0
AT1G56410	0
AT1G56415	0
AT1G56418	0.50
AT1G56420	106
AT1G56423	322
AT1G56430	440
AT1G56440	268.83
AT1G56450	2300
AT1G56460	758
AT1G56500	3342.00
AT1G56510	1948
AT1G56520	537.50
AT1G56530	0
AT1G56540	184.50
AT1G56550	276
AT1G56553	0
AT1G56555	1
AT1G56560	532
AT1G56570	62.50
AT1G56580	1951
AT1G56590	375
AT1G56600	486
AT1G56610	320.33
AT1G56612	124.33
AT1G56620	0
AT1G56630	2
AT1G56650	78
AT1G56660	477.50
AT1G56670	56.50
AT1G56680	0
AT1G56690	40
AT1G56700	698.50
AT1G56710	4
AT1G56720	188.00
AT1G56730	0
AT1G56740	0
AT1G56750	0
AT1G56760	0
AT1G56770	0
AT1G56780	0
AT1G56790	0
AT1G56800	0
AT1G56810	0
AT1G56820	0
AT1G56830	0
AT1G56840	0
AT1G56850	0
AT1G56860	0
AT1G56870	0
AT1G56880	0
AT1G56890	0
AT1G56900	0
AT1G56910	0
AT1G56920	0
AT1G56930	0
AT1G56940	0
AT1G56950	0
AT1G56960	0
AT1G56970	0
AT1G56980	0
AT1G56990	0
AT1G57000	0
AT1G57010	0
AT1G57020	0
AT1G57030	0
AT1G57040	0
AT1G57050	0
AT1G57060	0
AT1G57070	0
AT1G57080	0
AT1G57090	0
AT1G57100	0
AT1G57110	0
AT1G57120	0
AT1G57130	0
AT1G57140	0
AT1G57150	0
AT1G57160	0
AT1G57170	0
AT1G57180	0
AT1G57190	0
AT1G57200	0
AT1G57210	0
AT1G57220	0
AT1G57230	0
AT1G57240	0
AT1G57250	0
AT1G57260	0
AT1G57270	0
AT1G57280	0
AT1G57290	0
AT1G57300	0
AT1G57310	0
AT1G57320	0
AT1G57330	0
AT1G57340	0
AT1G57350	0
AT1G57360	0
AT1G57370	0
AT1G57380	0
AT1G57390	0
AT1G57400	0
AT1G57410	0
AT1G57420	0
AT1G57430	0
AT1G57440	0
AT1G57450	0
AT1G57460	0
AT1G57470	0
AT1G57480	0
AT1G57490	0
AT1G57500	0
AT1G57510	0
AT1G57520	0
AT1G57530	0
AT1G57540	133
AT1G57550	0
AT1G57560	279
AT1G57565	0
AT1G57570	10
AT1G57580	0
AT1G57590	104
AT1G57600	322
AT1G57610	677.50
AT1G57613	0
AT1G57620	427.83
AT1G57630	648
AT1G57650	25
AT1G57660	2651.33
AT1G57670	1
AT1G57680	2579.50
AT1G57690	0
AT1G57700	187
AT1G57710	0
AT1G57720	5121.78
AT1G57730	0
AT1G57750	3
AT1G57760	0
AT1G57765	368
AT1G57770	1050.50
AT1G57775	0
AT1G57777	0
AT1G57780	1
AT1G57790	133
AT1G57800	0
AT1G57820	386.50
AT1G57830	0
AT1G57835	0
AT1G57850	61
AT1G57860	1617.83
AT1G57870	611
AT1G57906	28
AT1G57943	16
AT1G57980	78.50
AT1G57990	1071.50
AT1G58007	1
AT1G58025	392.50
AT1G58030	1226.50
AT1G58037	1
AT1G58050	0
AT1G58055	0
AT1G58060	460.50
AT1G58070	54.50
AT1G58080	2599.17
AT1G58090	0
AT1G58100	795.50
AT1G58110	785.50
AT1G58120	1
AT1G58122	1
AT1G58150	105
AT1G58160	12
AT1G58170	16
AT1G58180	531
AT1G58190	55
AT1G58200	894.50
AT1G58210	114
AT1G58220	318
AT1G58225	1537.00
AT1G58230	853.50
AT1G58235	495.50
AT1G58242	0
AT1G58245	0
AT1G58248	0
AT1G58250	1134.50
AT1G58260	0
AT1G58265	0
AT1G58270	1304.25
AT1G58280	143
AT1G58290	5519.50
AT1G58300	51
AT1G58310	0
AT1G58320	0
AT1G58330	0
AT1G58340	31
AT1G58350	520
AT1G58360	2243
AT1G58370	74
AT1G58380	849.61
AT1G58390	24
AT1G58400	5.50
AT1G58410	10
AT1G58420	239.33
AT1G58430	0
AT1G58440	823.50
AT1G58450	0
AT1G58460	8
AT1G58470	57
AT1G58520	655
AT1G58590	307.50
AT1G58602	6647.24
AT1G58643	0
AT1G58684	2543.39
AT1G58725	3.20
AT1G58766	0
AT1G58807	1955.09
AT1G58808	0
AT1G58848	1500.93
AT1G58936	0
AT1G58983	2582.89
AT1G59030	3.33
AT1G59077	0
AT1G59124	2000.98
AT1G59171	0
AT1G59218	1184.09
AT1G59312	0
AT1G59359	2544.45
AT1G59406	2.80
AT1G59453	0.50
AT1G59500	0
AT1G59510	33
AT1G59520	336
AT1G59530	0
AT1G59535	0
AT1G59540	83
AT1G59550	0
AT1G59560	123
AT1G59570	0
AT1G59580	911
AT1G59590	417
AT1G59600	315.00
AT1G59610	2226
AT1G59620	566
AT1G59630	0
AT1G59640	43
AT1G59650	244
AT1G59660	151.50
AT1G59670	0
AT1G59675	0
AT1G59680	0
AT1G59690	0
AT1G59700	612
AT1G59710	919
AT1G59720	134.50
AT1G59722	0
AT1G59725	0
AT1G59730	6
AT1G59740	69
AT1G59750	937.50
AT1G59760	619
AT1G59780	2
AT1G59790	3
AT1G59800	0
AT1G59810	5
AT1G59820	754
AT1G59830	842.33
AT1G59833	0
AT1G59835	0
AT1G59840	605.17
AT1G59850	56.17
AT1G59860	40
AT1G59865	23
AT1G59870	28591.26
AT1G59880	0
AT1G59885	0
AT1G59890	706.50
AT1G59900	2982.50
AT1G59910	527
AT1G59920	8.50
AT1G59930	21.50
AT1G59940	1
AT1G59950	0
AT1G59960	740.50
AT1G59970	267
AT1G59980	83
AT1G59990	685
AT1G60000	2101
AT1G60010	854.50
AT1G60025	0
AT1G60030	15
AT1G60040	0
AT1G60050	0
AT1G60060	59
AT1G60070	1633
AT1G60072	0
AT1G60073	0
AT1G60080	80
AT1G60090	0
AT1G60095	3
AT1G60110	2
AT1G60130	11
AT1G60140	592
AT1G60160	433.50
AT1G60170	1053
AT1G60190	49
AT1G60200	995
AT1G60220	606
AT1G60230	456
AT1G60240	0
AT1G60250	0
AT1G60260	776
AT1G60270	368
AT1G60280	0
AT1G60300	0
AT1G60320	0
AT1G60340	0
AT1G60350	0
AT1G60360	6
AT1G60370	0
AT1G60380	0
AT1G60390	58.50
AT1G60400	0
AT1G60410	0
AT1G60420	1332.83
AT1G60430	261.83
AT1G60440	435.00
AT1G60450	0
AT1G60460	23.50
AT1G60470	49.50
AT1G60490	993.50
AT1G60500	0
AT1G60505	181
AT1G60525	80
AT1G60530	70
AT1G60545	175
AT1G60550	1768.50
AT1G60560	131
AT1G60570	0
AT1G60580	0
AT1G60590	478.50
AT1G60600	1003.00
AT1G60610	119
AT1G60620	185.50
AT1G60625	0
AT1G60630	100
AT1G60640	300.50
AT1G60650	269.50
AT1G60660	249
AT1G60670	277.00
AT1G60680	15
AT1G60690	161.50
AT1G60700	76
AT1G60710	1887.50
AT1G60720	0
AT1G60730	703.50
AT1G60740	0
AT1G60750	0
AT1G60760	5
AT1G60770	489
AT1G60780	1951.00
AT1G60783	1.67
AT1G60790	311.17
AT1G60800	915.67
AT1G60810	336
AT1G60815	0
AT1G60820	0
AT1G60830	31.50
AT1G60840	3
AT1G60850	135
AT1G60860	152.50
AT1G60870	1187.50
AT1G60880	0
AT1G60890	641.50
AT1G60900	929.50
AT1G60910	0
AT1G60913	0
AT1G60920	0
AT1G60930	77
AT1G60940	1406
AT1G60950	37318.42
AT1G60960	199
AT1G60970	11.50
AT1G60980	0
AT1G60983	0
AT1G60985	0
AT1G60986	0.67
AT1G60987	0
AT1G60989	151
AT1G60990	565
AT1G60995	577
AT1G61000	69
AT1G61010	532.50
AT1G61020	0
AT1G61030	284
AT1G61040	463.33
AT1G61050	5
AT1G61060	0
AT1G61065	95.50
AT1G61070	0
AT1G61080	25
AT1G61090	0
AT1G61093	0
AT1G61095	0
AT1G61097	0
AT1G61100	2134.25
AT1G61105	0
AT1G61110	1
AT1G61120	176
AT1G61130	4
AT1G61140	821.50
AT1G61150	872.00
AT1G61160	9
AT1G61165	0
AT1G61170	223
AT1G61180	528
AT1G61190	2746
AT1G61200	0
AT1G61210	573
AT1G61215	84
AT1G61224	0
AT1G61226	0
AT1G61230	0
