Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H553.sam
AT1G03840	6.50
AT1G03850	153
AT1G03860	1613.42
AT1G03870	1636.50
AT1G03880	0
AT1G03890	0
AT1G03900	2198.50
AT1G03905	57
AT1G03910	911.50
AT1G03920	6
AT1G03930	857
AT1G03935	13
AT1G03940	211
AT1G03950	372.50
AT1G03960	212.50
AT1G03970	292.67
AT1G03980	169.17
AT1G03982	0
AT1G03990	49
AT1G04000	275
AT1G04010	272
AT1G04020	194
AT1G04030	449.33
AT1G04040	1553.83
AT1G04050	35
AT1G04070	93
AT1G04080	1689
AT1G04090	12
AT1G04100	103.50
AT1G04110	108.50
AT1G04120	1238.00
AT1G04130	175
AT1G04140	1898.61
AT1G04150	2
AT1G04160	201
AT1G04170	1998.75
AT1G04171	0
AT1G04180	6
AT1G04190	516
AT1G04200	955.50
AT1G04210	896.50
AT1G04220	73
AT1G04230	240
AT1G04240	500.50
AT1G04250	507
AT1G04260	298.50
AT1G04270	5176.50
AT1G04280	613.50
AT1G04290	163.50
AT1G04295	161.50
AT1G04300	1094.78
AT1G04310	147
AT1G04320	0
AT1G04330	8
AT1G04340	372.50
AT1G04350	1245
AT1G04360	29
AT1G04370	0
AT1G04380	0
AT1G04390	169.50
AT1G04400	2343.00
AT1G04410	13835.25
AT1G04420	2632.67
AT1G04425	48.50
AT1G04430	2369.33
AT1G04440	2012.50
AT1G04445	4.50
AT1G04450	0
AT1G04470	1
AT1G04480	1924.50
AT1G04490	43
AT1G04500	3
AT1G04501	0
AT1G04510	1213.83
AT1G04520	378.50
AT1G04530	1613.17
AT1G04540	67
AT1G04550	390
AT1G04555	120.50
AT1G04560	0
AT1G04570	45
AT1G04580	0
AT1G04590	314.50
AT1G04600	108
AT1G04610	2
AT1G04620	797.00
AT1G04625	58
AT1G04630	466
AT1G04635	37.50
AT1G04640	858.50
AT1G04645	4
AT1G04650	42
AT1G04660	14
AT1G04670	0
AT1G04680	1926
AT1G04684	0
AT1G04690	1826.50
AT1G04700	38
AT1G04710	475.50
AT1G04720	0
AT1G04730	153.67
AT1G04750	1709.67
AT1G04760	29
AT1G04770	603.50
AT1G04778	14
AT1G04780	1052
AT1G04790	418
AT1G04800	607
AT1G04810	1320
AT1G04820	5976.00
AT1G04830	290.83
AT1G04840	16
AT1G04850	1740.00
AT1G04860	689
AT1G04870	608.33
AT1G04880	3
AT1G04890	0
AT1G04900	200.00
AT1G04910	669.50
AT1G04920	38
AT1G04930	72
AT1G04940	716.92
AT1G04945	825.92
AT1G04950	394
AT1G04960	577.50
AT1G04970	694
AT1G04980	1270.50
AT1G04985	498.50
AT1G04990	1559.50
AT1G05000	149
AT1G05010	10229.00
AT1G05020	75.50
AT1G05030	257.33
AT1G05040	4
AT1G05055	192
AT1G05060	388
AT1G05065	21
AT1G05070	332
AT1G05080	0
AT1G05085	0
AT1G05090	275
AT1G05100	36
AT1G05120	339.50
AT1G05136	4
AT1G05140	1670.50
AT1G05150	650.50
AT1G05160	212.50
AT1G05170	444.25
AT1G05180	862.50
AT1G05190	8485
AT1G05200	951
AT1G05205	166.33
AT1G05210	100.33
AT1G05220	42.33
AT1G05230	589.33
AT1G05240	2.50
AT1G05250	2.50
AT1G05260	14
AT1G05270	626
AT1G05280	0
AT1G05290	0
AT1G05291	0
AT1G05300	106.50
AT1G05310	41.50
AT1G05320	440.50
AT1G05330	0
AT1G05340	336
AT1G05350	792
AT1G05360	157.50
AT1G05370	29
AT1G05380	618
AT1G05385	315
AT1G05390	0
AT1G05400	19
AT1G05410	219.50
AT1G05420	10
AT1G05430	495
AT1G05440	21
AT1G05450	2.50
AT1G05460	185
AT1G05470	132.33
AT1G05490	13
AT1G05500	891
AT1G05510	5.50
AT1G05520	972
