Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H553.sam
AT1G73060	3477.83
AT1G73066	6
AT1G73080	721.50
AT1G73090	217
AT1G73100	321.50
AT1G73110	961
AT1G73120	0
AT1G73130	174
AT1G73140	6
AT1G73150	101
AT1G73160	0
AT1G73165	0
AT1G73170	972.17
AT1G73177	86.50
AT1G73180	755.50
AT1G73190	12.33
AT1G73200	721
AT1G73210	62
AT1G73220	30
AT1G73230	2684.67
AT1G73240	343.50
AT1G73250	224.83
AT1G73260	163
AT1G73270	4.50
AT1G73280	0
AT1G73290	0
AT1G73300	0
AT1G73310	121.50
AT1G73320	75
AT1G73325	373
AT1G73330	587
AT1G73340	0
AT1G73350	312.50
AT1G73360	152
AT1G73370	50
AT1G73380	318
AT1G73390	553.50
AT1G73400	50.50
AT1G73410	0
AT1G73430	866.17
AT1G73440	168
AT1G73450	181.70
AT1G73460	567.63
AT1G73470	770
AT1G73480	933.50
AT1G73490	818.50
AT1G73500	520.50
AT1G73510	0
AT1G73530	682.50
AT1G73540	317
AT1G73550	14
AT1G73560	0
AT1G73570	110
AT1G73580	0
AT1G73590	122
AT1G73600	3628.05
AT1G73602	3628.05
AT1G73603	0
AT1G73607	0
AT1G73610	0
AT1G73620	83.33
AT1G73630	73
AT1G73640	17
AT1G73650	1404.58
AT1G73655	3011.50
AT1G73660	626
AT1G73670	743
AT1G73680	884.50
AT1G73687	0
AT1G73690	45
AT1G73700	29
AT1G73710	331.50
AT1G73720	396.75
AT1G73730	350.50
AT1G73740	532.50
AT1G73750	417.00
AT1G73760	579
AT1G73770	51
AT1G73780	1
AT1G73790	79
AT1G73805	2184.17
AT1G73810	359.50
AT1G73820	227.50
AT1G73830	46
AT1G73840	553.50
AT1G73850	37
AT1G73860	1
AT1G73870	314
AT1G73875	185
AT1G73880	75.33
AT1G73885	3683.33
AT1G73890	54
AT1G73900	0
AT1G73910	2
AT1G73920	1502
AT1G73930	450.50
AT1G73940	371.50
AT1G73950	239.33
AT1G73960	603
AT1G73965	11
AT1G73970	302
AT1G73980	684
AT1G73990	1202.00
AT1G74000	35
AT1G74010	112.67
AT1G74020	713.50
AT1G74030	242.67
AT1G74040	803
AT1G74045	0
AT1G74050	3261.83
AT1G74055	11.50
AT1G74060	2320.42
AT1G74070	737.50
AT1G74080	15
AT1G74088	85.67
AT1G74090	2229.17
AT1G74100	1999.67
AT1G74110	0
AT1G74120	86
AT1G74130	3
AT1G74140	17
AT1G74150	24
AT1G74160	587
AT1G74170	436.83
AT1G74180	89
AT1G74190	3
AT1G74200	27
AT1G74205	115.33
AT1G74210	948.33
AT1G74220	0
AT1G74230	1416.00
AT1G74240	89
AT1G74250	592
AT1G74260	1550.50
AT1G74270	511
AT1G74280	192.67
AT1G74290	135.83
AT1G74300	232
AT1G74310	248
AT1G74320	261.50
AT1G74330	429.00
AT1G74340	399.50
AT1G74350	51
AT1G74360	616
AT1G74370	226.83
AT1G74380	1107.50
AT1G74390	99
AT1G74400	4
AT1G74410	209.50
AT1G74420	40
AT1G74430	273.25
AT1G74440	579.25
AT1G74448	0
AT1G74450	541.50
AT1G74453	55
AT1G74456	77
AT1G74458	33
AT1G74460	12
AT1G74470	16460.08
AT1G74480	4
AT1G74490	3
AT1G74500	0
AT1G74510	436
AT1G74520	762.50
AT1G74530	532.50
AT1G74540	18
AT1G74545	3
AT1G74550	27.83
AT1G74560	1087.33
AT1G74570	0
AT1G74580	53
AT1G74590	363
AT1G74600	74
AT1G74610	0
AT1G74620	0
AT1G74630	16
AT1G74640	1744.50
AT1G74650	51
AT1G74660	6
AT1G74670	596
AT1G74680	382
AT1G74690	1301.50
AT1G74700	113
AT1G74710	2406.50
AT1G74720	744
AT1G74730	3185.83
AT1G74740	342.83
AT1G74750	251
AT1G74770	15.50
AT1G74780	172.83
AT1G74790	451.50
AT1G74800	290.50
AT1G74810	270.50
AT1G74820	0
AT1G74830	0.50
AT1G74840	634.50
AT1G74850	1014.50
AT1G74860	129.50
AT1G74870	13.50
AT1G74875	38.50
AT1G74880	1657.94
AT1G74890	76
AT1G74900	164.83
AT1G74910	1982.83
AT1G74920	3014.50
AT1G74929	4
AT1G74930	65
AT1G74940	311.50
AT1G74950	1545.33
AT1G74960	2853.33
AT1G74970	5908.75
AT1G74990	0
AT1G75000	495
AT1G75010	560.50
AT1G75020	436
AT1G75030	93.00
AT1G75040	63785.82
AT1G75050	10.50
AT1G75060	59.00
AT1G75070	0
AT1G75080	758.67
AT1G75090	49.50
AT1G75100	1138.50
AT1G75110	14
AT1G75120	58
AT1G75130	425.33
AT1G75140	405.50
AT1G75150	94
AT1G75160	0
AT1G75163	26.50
AT1G75166	20.50
AT1G75170	809
AT1G75180	532
AT1G75190	83
AT1G75200	572
AT1G75210	1123.50
AT1G75220	1351.50
AT1G75230	433
AT1G75240	253.50
AT1G75250	13
AT1G75260	6
AT1G75270	424
AT1G75280	2404.83
AT1G75290	11.00
AT1G75295	71.67
AT1G75300	62.33
AT1G75310	183.83
AT1G75330	1750.50
AT1G75335	53.00
AT1G75340	378.50
AT1G75350	5149.33
AT1G75360	28
AT1G75370	1328.50
AT1G75380	9285.00
AT1G75388	33.83
AT1G75390	33.83
AT1G75400	592
AT1G75410	1313.50
AT1G75420	315
AT1G75430	1
AT1G75440	235.17
AT1G75450	168.67
AT1G75460	3743.50
AT1G75470	0
AT1G75490	18
AT1G75500	2498.92
AT1G75510	814.50
AT1G75520	7.50
AT1G75530	0
AT1G75540	380.50
AT1G75550	16
AT1G75560	606.00
AT1G75570	0
AT1G75580	47
AT1G75590	21
AT1G75600	1
AT1G75620	5
AT1G75630	1203.50
AT1G75640	55
AT1G75650	0
AT1G75660	1142.67
AT1G75670	153
AT1G75680	1910
AT1G75690	2912
AT1G75700	1
AT1G75710	326.50
AT1G75717	0
AT1G75720	4
AT1G75730	333.50
AT1G75740	0
AT1G75750	7069.83
AT1G75760	525.50
AT1G75770	80
AT1G75780	167.50
AT1G75790	0
AT1G75800	1900.83
AT1G75810	195.50
AT1G75820	913
AT1G75830	0
AT1G75840	826.50
AT1G75850	796.50
AT1G75860	505
AT1G75870	0
AT1G75880	96
AT1G75890	8
AT1G75891	1
AT1G75900	520
AT1G75910	0
AT1G75920	0
AT1G75930	0
AT1G75940	0
AT1G75950	4070.83
AT1G75960	262.75
AT1G75970	0
AT1G75980	164
AT1G75990	891.00
AT1G76000	0
AT1G76010	2693.67
AT1G76020	239.50
AT1G76030	4372.17
AT1G76040	1741.50
AT1G76050	458.50
AT1G76060	161.50
AT1G76062	13.50
AT1G76065	35.50
AT1G76070	177.50
AT1G76080	4819.83
AT1G76090	515
AT1G76100	3381.50
AT1G76110	494
AT1G76120	209
AT1G76130	725
AT1G76135	4
AT1G76140	1596.33
AT1G76150	1018.42
AT1G76160	4209.67
AT1G76170	79
AT1G76180	6243
AT1G76185	97.50
AT1G76190	4
AT1G76200	869
AT1G76210	4
AT1G76220	1
AT1G76230	0
AT1G76240	253
AT1G76250	4
AT1G76260	160.83
AT1G76270	252.33
AT1G76280	267.50
AT1G76290	0
AT1G76300	316.00
AT1G76310	77
AT1G76320	267.75
AT1G76330	0
AT1G76340	283.50
AT1G76350	285.00
AT1G76360	640.75
AT1G76370	0
AT1G76380	209.50
AT1G76390	494.67
AT1G76400	1139.67
AT1G76405	240
AT1G76410	19
AT1G76420	14.50
AT1G76430	0
AT1G76440	139
AT1G76450	2583.11
AT1G76460	485.33
AT1G76470	19
AT1G76480	0
AT1G76490	4464.75
AT1G76500	0
AT1G76510	314
AT1G76520	898.50
AT1G76530	56.17
AT1G76540	171.67
AT1G76550	570.50
AT1G76560	77.50
AT1G76570	330.50
AT1G76580	500
AT1G76590	215
AT1G76600	303
AT1G76610	22
AT1G76620	699.17
AT1G76630	550.50
AT1G76640	22
AT1G76650	121.50
AT1G76660	540
AT1G76670	2431.50
AT1G76680	1280.08
AT1G76690	116.25
AT1G76700	811
AT1G76705	20
AT1G76710	198.50
AT1G76720	70.25
AT1G76728	0
AT1G76730	1549
AT1G76740	27.50
AT1G76750	0.50
AT1G76760	65.50
AT1G76770	0
AT1G76780	20
AT1G76790	867
AT1G76800	38
AT1G76810	2052
AT1G76820	56.75
AT1G76830	0
AT1G76840	0
AT1G76850	1684.08
AT1G76860	560.33
AT1G76870	78
AT1G76878	415.67
AT1G76880	484.67
AT1G76890	305.67
AT1G76892	272.67
AT1G76900	696.25
AT1G76910	0
AT1G76920	456.50
AT1G76930	1309.00
AT1G76940	315.50
AT1G76950	520.25
AT1G76952	4.50
AT1G76954	1.50
AT1G76955	194
AT1G76960	3002.67
AT1G76965	6
AT1G76970	1328.25
AT1G76980	608
AT1G76990	1621
AT1G76994	4
AT1G77000	329.50
AT1G77010	19
AT1G77020	106
AT1G77030	376
AT1G77040	0
AT1G77060	1012.25
AT1G77080	614.33
AT1G77090	1101.50
AT1G77093	0
AT1G77100	3
AT1G77110	45
AT1G77120	163
AT1G77122	420
AT1G77130	306.50
AT1G77138	23
AT1G77140	498.50
AT1G77145	16
AT1G77150	0
AT1G77160	0
AT1G77170	56
AT1G77180	1292.50
AT1G77190	0
AT1G77200	28.50
AT1G77210	281.50
AT1G77220	440.67
AT1G77230	137.00
AT1G77235	0
AT1G77240	97.00
AT1G77250	157
AT1G77260	849
AT1G77270	84
AT1G77280	190
AT1G77290	82
AT1G77300	774
AT1G77310	59
AT1G77320	96
AT1G77330	11
AT1G77340	0
AT1G77350	313.50
AT1G77360	43.50
AT1G77370	1531.50
AT1G77380	98
AT1G77390	53
AT1G77400	116
AT1G77405	17
AT1G77410	54
AT1G77420	606.17
AT1G77440	840
AT1G77450	216.00
AT1G77460	483.50
AT1G77470	236.50
AT1G77480	375
AT1G77490	2262.50
AT1G77500	823.50
AT1G77510	6858.25
AT1G77520	47
AT1G77525	0
AT1G77530	25
AT1G77540	169
AT1G77550	325.00
AT1G77560	0
AT1G77570	36
AT1G77580	155
AT1G77590	747.50
AT1G77600	342
AT1G77610	797.50
AT1G77620	138.83
AT1G77630	308.33
AT1G77640	50
AT1G77650	0
AT1G77655	0
AT1G77660	239
AT1G77670	838
AT1G77680	892.83
AT1G77682	0
AT1G77690	98
AT1G77700	27
AT1G77710	1132
AT1G77720	116
AT1G77730	4.00
AT1G77740	1437
AT1G77746	0
AT1G77750	367
AT1G77760	2282
AT1G77765	24.33
AT1G77770	336.33
AT1G77780	0
AT1G77790	2
AT1G77800	1079.50
AT1G77810	995.00
AT1G77815	0
AT1G77830	0.50
AT1G77840	1510.67
AT1G77850	314
AT1G77855	20
AT1G77860	0
AT1G77870	14
AT1G77880	6.00
AT1G77885	70.50
AT1G77890	274
AT1G77910	0
AT1G77920	524.50
AT1G77930	1469.17
AT1G77932	0
AT1G77940	2545.25
AT1G77950	0.50
AT1G77960	0.50
AT1G77980	0
AT1G77990	646.17
AT1G77992	99.67
AT1G78000	482.42
AT1G78010	463
AT1G78020	3323.17
AT1G78030	41
AT1G78040	6001.83
AT1G78050	64
AT1G78060	493
AT1G78070	1182.00
AT1G78080	2601
AT1G78090	10.67
AT1G78100	726
AT1G78110	156
AT1G78120	43
AT1G78130	171
AT1G78140	988.75
AT1G78150	1058.50
AT1G78160	0
AT1G78170	390
AT1G78172	11
AT1G78180	288.50
AT1G78190	105.50
AT1G78200	697.33
AT1G78206	12
AT1G78210	856.50
AT1G78220	0
AT1G78230	936.33
AT1G78240	1339.50
AT1G78250	0
AT1G78260	132.33
AT1G78265	150.33
AT1G78270	152.33
AT1G78280	761.83
AT1G78290	778.50
AT1G78300	3549.92
AT1G78310	119.33
AT1G78320	19
AT1G78340	2
AT1G78360	0
AT1G78370	29500.80
AT1G78380	7551.08
AT1G78390	6
AT1G78400	0
AT1G78410	428.50
AT1G78420	619.33
AT1G78430	88.50
AT1G78440	4
AT1G78450	40
AT1G78460	601.50
AT1G78470	0
AT1G78476	26
AT1G78478	8
AT1G78480	24.50
AT1G78490	779
AT1G78500	0
AT1G78510	1243.25
AT1G78520	4
AT1G78530	53
AT1G78540	157
AT1G78550	164
AT1G78560	729
AT1G78570	5872.17
AT1G78580	639.00
AT1G78590	248
AT1G78600	905.17
AT1G78610	604.50
AT1G78620	1872.75
AT1G78630	9058.67
AT1G78640	0
AT1G78650	157
AT1G78660	1326.42
AT1G78670	1012
AT1G78680	1895.75
AT1G78690	172
AT1G78700	307.50
AT1G78710	58.17
AT1G78720	0
AT1G78730	82
AT1G78740	0
AT1G78750	5
AT1G78760	1.50
AT1G78770	125
AT1G78780	54.50
AT1G78790	138
AT1G78800	564.25
AT1G78810	171.50
AT1G78815	1
AT1G78820	1133
AT1G78830	5944.50
AT1G78840	0
AT1G78850	4284.58
AT1G78860	37
AT1G78865	57
AT1G78870	1306.50
AT1G78880	395.17
AT1G78882	395.17
AT1G78890	836.50
AT1G78895	157
AT1G78900	11214.17
AT1G78910	92.50
AT1G78915	746.25
AT1G78920	2743.67
AT1G78922	125.17
AT1G78930	53.33
AT1G78940	29
AT1G78950	16
AT1G78955	8
AT1G78960	126
AT1G78970	117
AT1G78980	5.50
AT1G78990	9.33
AT1G78995	462.50
AT1G79000	1094.75
AT1G79010	1808
AT1G79020	262.50
AT1G79030	269
AT1G79040	72907.00
AT1G79050	658
AT1G79060	61.50
AT1G79070	121
AT1G79075	112
AT1G79080	417
AT1G79090	1301.17
AT1G79100	2
AT1G79110	1311.25
AT1G79120	17
AT1G79130	0
AT1G79150	298
AT1G79160	291.83
AT1G79170	28
AT1G79180	8
AT1G79190	307.50
AT1G79200	197
AT1G79210	158
AT1G79220	65
AT1G79230	2412.67
AT1G79240	0
AT1G79250	0
AT1G79260	258.83
AT1G79270	840
AT1G79280	1174
AT1G79290	0
AT1G79300	0
AT1G79310	16
AT1G79320	0
AT1G79330	10
AT1G79340	2680.25
AT1G79350	794
AT1G79360	9
AT1G79370	0
AT1G79380	1929.42
AT1G79390	270.33
AT1G79400	18.50
AT1G79410	261.50
AT1G79420	66.50
AT1G79430	238
AT1G79440	1729.50
AT1G79450	145
AT1G79460	164
AT1G79470	147.50
AT1G79480	4
AT1G79490	107
AT1G79500	813.17
AT1G79510	593.67
AT1G79520	325.50
AT1G79529	113
AT1G79530	440.50
AT1G79540	174.50
AT1G79550	5293.25
AT1G79560	1262
AT1G79570	793
AT1G79580	0
AT1G79590	514.50
AT1G79600	3080.25
AT1G79610	427
AT1G79620	69
AT1G79630	219.50
AT1G79640	199
AT1G79650	610.50
AT1G79660	262
AT1G79670	373
AT1G79680	120
AT1G79690	1258.17
AT1G79700	162
AT1G79710	237.00
AT1G79720	275.67
AT1G79730	707
AT1G79740	361
AT1G79750	3668.50
AT1G79760	2.50
AT1G79770	9
AT1G79780	9.50
AT1G79790	573
AT1G79800	1
AT1G79810	386.50
AT1G79820	176.50
AT1G79830	1887.58
AT1G79840	1426.42
AT1G79850	5890.17
AT1G79860	0
AT1G79870	1333.33
AT1G79880	236.50
AT1G79890	11
AT1G79900	3
AT1G79910	60
AT1G79915	6.00
AT1G79920	3691.83
AT1G79930	3018.00
AT1G79940	1610.83
AT1G79950	347.00
AT1G79960	38.50
AT1G79970	544
AT1G79980	0.50
AT1G79990	1897.67
AT1G80000	984.50
AT1G80010	555.50
AT1G80030	1573.00
AT1G80040	1635.17
AT1G80050	210.50
AT1G80060	37
AT1G80070	3639
AT1G80080	169
AT1G80090	0
AT1G80100	0
AT1G80110	88
AT1G80120	88
AT1G80130	367
AT1G80133	0
AT1G80140	0
AT1G80150	141.50
AT1G80160	10
AT1G80170	127
AT1G80180	970.50
AT1G80190	153
AT1G80200	11.33
AT1G80210	330.33
AT1G80220	0
AT1G80230	1395.50
AT1G80240	0
AT1G80245	67.50
AT1G80250	0
AT1G80260	613.00
AT1G80270	271
AT1G80280	423
AT1G80290	205
AT1G80300	1736
AT1G80310	453
AT1G80320	26
AT1G80325	31
AT1G80330	0
AT1G80340	13
AT1G80350	327
AT1G80360	918.33
AT1G80370	54
AT1G80380	5783.50
AT1G80390	1
AT1G80400	492
AT1G80410	2460.50
AT1G80420	384.50
AT1G80430	0
AT1G80440	549.50
AT1G80450	82
AT1G80460	1491.50
AT1G80470	0
AT1G80480	1930
AT1G80490	976.88
AT1G80500	1136.50
AT1G80510	460.50
AT1G80520	17
AT1G80530	720.70
AT1G80540	8
AT1G80550	242.50
AT1G80555	12
AT1G80560	765.50
AT1G80570	30
AT1G80580	0
AT1G80590	1
AT1G80600	2884.58
AT1G80610	377.00
AT1G80620	556.83
AT1G80630	153.50
AT1G80640	426.50
AT1G80650	337.50
AT1G80660	2
AT1G80670	588.67
AT1G80680	608.50
AT1G80690	93
AT1G80700	256
AT1G80710	61
AT1G80720	93
AT1G80730	9
AT1G80740	9
AT1G80745	2
AT1G80750	732.17
AT1G80760	183.33
AT1G80770	977.50
AT1G80780	1144
AT1G80790	522.83
AT1G80810	169.50
AT1G80820	74.50
AT1G80830	679.50
AT1G80831	0
AT1G80840	874.50
AT1G80850	246.50
AT1G80860	308.50
AT1G80865	2
AT1G80870	174.50
AT1G80880	54
AT1G80890	144
AT1G80900	119
AT1G80910	522
AT1G80920	2010.00
AT1G80930	1136.00
AT1G80940	761
AT1G80950	850.67
AT1G80960	156
AT1G80970	27
AT1G80980	151.75
AT1G80990	0
AT2G01008	98.15
AT2G01010	4958.83
AT2G01020	978.75
AT2G01021	263.50
AT2G01023	8.50
AT2G01050	0
AT2G01060	772
AT2G01070	394
AT2G01080	201
AT2G01090	273.50
AT2G01100	631.50
AT2G01110	3075.33
AT2G01120	81
AT2G01130	404
AT2G01140	2854.83
AT2G01150	147
AT2G01160	0
AT2G01170	457.50
AT2G01175	8
AT2G01180	734.28
AT2G01190	900
AT2G01200	8.50
AT2G01210	46.50
AT2G01220	698.00
AT2G01240	0
AT2G01250	4406.00
AT2G01260	586
AT2G01270	1069.50
AT2G01275	8.50
AT2G01280	151.92
AT2G01290	945.42
AT2G01300	51
AT2G01310	0
AT2G01320	1169.75
AT2G01330	127.50
AT2G01340	148.50
AT2G01350	1338.50
AT2G01360	0.25
AT2G01370	0
AT2G01390	54.83
AT2G01400	192.50
AT2G01410	451.50
AT2G01420	1722.08
AT2G01422	0
AT2G01430	0
AT2G01440	631.50
AT2G01450	2072.67
AT2G01460	336.00
AT2G01470	853.50
AT2G01480	277
AT2G01490	1243
AT2G01500	0
AT2G01505	134
AT2G01510	29
AT2G01520	15.50
AT2G01530	7.50
AT2G01540	507.67
AT2G01554	0
AT2G01560	0
AT2G01570	1406.25
AT2G01580	0
AT2G01590	700.50
AT2G01600	1507.00
AT2G01610	104
AT2G01620	690
AT2G01630	402.50
AT2G01640	106
AT2G01650	693
AT2G01660	97.50
AT2G01667	0
AT2G01670	2612.50
AT2G01680	1110.50
AT2G01690	1221
AT2G01710	382
AT2G01720	1721
AT2G01730	40
AT2G01735	205.50
AT2G01740	41.50
AT2G01750	128
AT2G01755	234.75
AT2G01760	94.50
AT2G01770	0
AT2G01780	0
AT2G01790	0
AT2G01800	0
AT2G01810	0.50
AT2G01818	32
AT2G01820	1574
AT2G01830	299.50
AT2G01850	2400
AT2G01860	252
AT2G01870	201.50
AT2G01880	5
AT2G01890	28
AT2G01900	0
AT2G01905	5
AT2G01910	978.50
AT2G01913	53
AT2G01918	99
AT2G01920	0
AT2G01930	276
AT2G01940	70.50
AT2G01950	113
AT2G01960	4
AT2G01970	1936
AT2G01980	544
AT2G01990	88
AT2G02000	5
AT2G02010	299
AT2G02020	170
AT2G02023	0
AT2G02026	0
AT2G02030	0
AT2G02040	1213.50
AT2G02050	1039
AT2G02060	57
AT2G02061	1
AT2G02070	1194
AT2G02080	709.50
AT2G02090	863.83
AT2G02100	1100.50
AT2G02103	0
AT2G02120	0
AT2G02130	1122.17
AT2G02140	0
AT2G02147	0
AT2G02148	112.50
AT2G02150	69
AT2G02160	1244
AT2G02170	248
AT2G02180	841.50
AT2G02220	660
AT2G02230	142.50
AT2G02240	5
AT2G02250	2
AT2G02280	0
AT2G02290	0
AT2G02300	0
AT2G02310	13
AT2G02320	2
AT2G02340	18
AT2G02350	65.50
AT2G02360	439.50
AT2G02370	220.50
AT2G02380	7
AT2G02390	1722.00
AT2G02400	274
AT2G02410	235.50
AT2G02440	7
AT2G02450	442
AT2G02470	381.50
AT2G02480	194
AT2G02490	1
AT2G02498	0
AT2G02500	551
AT2G02510	804
AT2G02515	0
AT2G02520	0
AT2G02540	34
AT2G02550	0
AT2G02560	1325
AT2G02570	971.25
AT2G02580	4
AT2G02590	152
AT2G02600	0
AT2G02610	0.50
AT2G02620	0
AT2G02630	0
AT2G02640	0.50
AT2G02650	0
AT2G02660	0
AT2G02680	1
AT2G02690	0
AT2G02700	0
AT2G02710	400.50
AT2G02720	6
AT2G02730	187.50
AT2G02740	291.33
AT2G02741	1.33
AT2G02750	37.33
AT2G02760	2886
AT2G02770	168.50
AT2G02780	250
AT2G02790	301
AT2G02795	0
AT2G02800	929
AT2G02810	829.33
AT2G02820	172
AT2G02835	0
AT2G02840	0
AT2G02850	126
AT2G02860	528.50
AT2G02870	745
AT2G02880	116.50
AT2G02890	0
AT2G02900	0
AT2G02910	183.50
AT2G02930	28
AT2G02950	340
AT2G02955	98.50
AT2G02960	638.50
AT2G02970	676
AT2G02980	76
AT2G02990	25
AT2G03000	0
AT2G03010	20.50
AT2G03020	3
AT2G03030	0
AT2G03040	7.50
AT2G03050	81
AT2G03060	160
AT2G03070	284.00
AT2G03090	166
AT2G03110	15
AT2G03120	2074
AT2G03130	0
AT2G03140	676.50
AT2G03150	811
AT2G03160	0
AT2G03170	0
AT2G03180	0
AT2G03190	0
AT2G03200	4
AT2G03210	2
AT2G03220	320
AT2G03230	3
AT2G03240	378
AT2G03250	0
AT2G03260	22
AT2G03270	199
AT2G03280	108.50
AT2G03290	15.50
AT2G03300	0
AT2G03310	286
AT2G03320	0
AT2G03330	158.33
AT2G03340	676.50
AT2G03350	573
AT2G03360	4
AT2G03370	0
AT2G03380	33.50
AT2G03390	1423.00
AT2G03410	423.92
AT2G03420	414.92
AT2G03430	176
AT2G03440	1991.50
AT2G03445	0
AT2G03450	113
AT2G03460	1
AT2G03470	484.50
AT2G03480	417
AT2G03490	0
AT2G03500	67
AT2G03505	74
AT2G03510	1325.08
AT2G03520	10
AT2G03530	428.50
AT2G03550	1091
AT2G03560	0
AT2G03565	2
AT2G03570	0
AT2G03580	3
AT2G03590	12.50
AT2G03600	0.50
AT2G03610	0
AT2G03620	334.50
AT2G03630	0
AT2G03640	807.50
AT2G03660	0
AT2G03667	159.50
AT2G03670	106
AT2G03680	2251.58
AT2G03690	533.92
AT2G03700	0
AT2G03710	117.50
AT2G03720	0
AT2G03730	515
AT2G03740	0
AT2G03750	707.75
AT2G03760	640.50
AT2G03770	4
AT2G03780	338.50
AT2G03790	0
AT2G03800	340.00
AT2G03810	255.50
AT2G03820	1283
AT2G03821	0
AT2G03822	0
AT2G03830	2
AT2G03840	0
AT2G03850	3
AT2G03870	520.17
AT2G03880	15
AT2G03890	1220
AT2G03913	0
AT2G03930	0
AT2G03931	0
AT2G03932	0
AT2G03933	0
AT2G03936	0
AT2G03937	0
AT2G03938	0
AT2G03955	0
AT2G03980	1227.50
AT2G04020	0
AT2G04025	0
AT2G04030	5845.75
AT2G04031	0
AT2G04032	229
AT2G04034	0
AT2G04037	0
AT2G04038	0
AT2G04039	1861.00
AT2G04040	98.58
AT2G04041	0
AT2G04045	0
AT2G04046	0
AT2G04050	16.75
AT2G04060	0
AT2G04063	0
AT2G04066	69.25
AT2G04070	135
AT2G04080	580.25
AT2G04090	2.50
AT2G04100	310.50
AT2G04115	0
AT2G04160	585
AT2G04170	63
AT2G04190	0
AT2G04220	0
AT2G04230	249.50
AT2G04235	45
AT2G04240	298
AT2G04270	514.83
AT2G04280	1002.50
AT2G04300	0.33
AT2G04305	504
AT2G04340	420.50
AT2G04350	2125.50
AT2G04360	843.50
AT2G04370	0
AT2G04378	592.50
AT2G04380	413.50
AT2G04390	1720.75
AT2G04395	0
AT2G04400	2198.00
AT2G04410	1386.67
AT2G04420	1
AT2G04425	0
AT2G04430	497
AT2G04440	0
AT2G04450	1367.50
AT2G04480	0
AT2G04495	439.50
AT2G04500	0
AT2G04515	45
AT2G04520	1255
AT2G04530	361
AT2G04540	206.50
AT2G04550	393
AT2G04560	73
AT2G04570	241
AT2G04620	339.50
AT2G04622	0
AT2G04630	673.50
AT2G04650	128.17
AT2G04660	211.50
AT2G04675	0
AT2G04680	0.50
AT2G04690	702.25
AT2G04700	3733.50
AT2G04740	304
AT2G04750	0
AT2G04780	1667.25
AT2G04790	171.33
AT2G04795	75
AT2G04800	0
AT2G04810	0
AT2G04830	0
AT2G04840	6.50
AT2G04842	2311.17
AT2G04845	77
AT2G04850	152.83
AT2G04852	53.83
AT2G04860	56
AT2G04865	304.00
AT2G04870	0
AT2G04880	872
AT2G04890	518
AT2G04900	870
AT2G04910	0
AT2G04920	0
AT2G04925	0
AT2G04930	0
AT2G04940	298
AT2G05050	0
AT2G05060	0.67
AT2G05070	18110.00
AT2G05100	30375.66
AT2G05117	0
AT2G05120	235.50
AT2G05140	0
AT2G05160	127.50
AT2G05170	1219.50
AT2G05180	0
AT2G05185	25
AT2G05210	214
AT2G05220	2614.83
AT2G05230	405.82
AT2G05250	399.57
AT2G05260	211.50
AT2G05270	1
AT2G05294	0
AT2G05310	2158.75
AT2G05320	334.50
AT2G05330	4
AT2G05335	0
AT2G05350	0
AT2G05360	0
AT2G05370	2
AT2G05380	3819.58
AT2G05400	0
AT2G05410	0
AT2G05420	0
AT2G05430	0
AT2G05440	136.50
AT2G05500	0
AT2G05510	0
AT2G05518	92.50
AT2G05520	15428.25
AT2G05530	0
AT2G05540	112.50
AT2G05580	0
AT2G05590	209
AT2G05600	0
AT2G05620	2616.33
AT2G05630	640
AT2G05632	52
AT2G05635	0
AT2G05642	0
AT2G05645	0
AT2G05710	7312.28
AT2G05720	0
AT2G05752	0
AT2G05753	43
AT2G05755	193
AT2G05760	90.50
AT2G05765	42
AT2G05786	0
AT2G05790	1428.50
AT2G05803	0
AT2G05810	241.17
AT2G05812	231.17
AT2G05830	1048.50
AT2G05840	2266.25
AT2G05850	0
AT2G05900	0
AT2G05910	2
AT2G05914	4
AT2G05915	2
AT2G05920	2312.50
AT2G05940	2331.00
AT2G05970	0
AT2G05990	2076.50
AT2G05995	33
AT2G06000	251
AT2G06002	18.33
AT2G06005	57
AT2G06010	231.50
AT2G06020	0
AT2G06025	876.75
AT2G06040	60.33
AT2G06050	3846.00
AT2G06090	0
AT2G06095	0
AT2G06166	0
AT2G06200	13
AT2G06210	614.50
AT2G06255	58
AT2G06420	0
AT2G06500	0
AT2G06510	195.50
AT2G06520	20615.18
AT2G06530	2108.00
AT2G06541	0
AT2G06555	0
AT2G06562	0
AT2G06570	0
AT2G06645	0
AT2G06667	0
AT2G06845	0
AT2G06850	3177
AT2G06904	0
AT2G06906	0
AT2G06908	0
AT2G06925	450.50
AT2G06960	0
AT2G06983	0
AT2G06990	537.75
AT2G07000	0
AT2G07020	0
AT2G07040	0
AT2G07042	48.50
AT2G07050	1910.83
AT2G07110	0
AT2G07120	0
AT2G07140	3
AT2G07170	82.50
AT2G07180	1293.50
AT2G07190	0
AT2G07200	0
AT2G07213	2.50
AT2G07215	2.50
AT2G07240	0
AT2G07280	0
AT2G07290	0
AT2G07310	0
AT2G07340	321.00
AT2G07360	1804.25
AT2G07362	0
AT2G07363	0
AT2G07440	0
AT2G07505	0
AT2G07521	0
AT2G07560	0
AT2G07599	8.75
AT2G07640	1
AT2G07667	16.50
AT2G07669	0.50
AT2G07671	73.67
AT2G07672	3.50
AT2G07673	0
AT2G07674	12.50
